"YYYYMM","Other","Hybrid","Battery electric"
201906,115068,650,320
201912,145117,1559,606
202006,70523,1416,358
202012,111864,3281,949
202106,104124,6375,512
202112,128453,9991,817
202206,110007,11933,1826
202212,124497,12623,1452
202306,76760,12256,1619
202312,77972,15557,2058
202406,65592,17173,2400
202412,83515,25495,6778
202506,72162,25548,7296
202512,28243,13702,3212
