"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2022,14301,44653,42077,4889,4709,894
2023,13043,37753,45021,5562,5799,562
2024,14674,36280,56034,5695,8565,363
2025,14363,30921,65363,7136,11003,639
2026,3269,7200,20293,2417,3193,87
