"YYYYMM","Diesel","Petrol","Hybrid","Battery electric"
202301,306,3030,244,143
202302,288,2931,293,79
202303,455,4326,297,129
202304,425,3030,191,100
202305,582,3699,187,179
202306,611,3971,193,136
202307,341,3948,234,85
202308,323,4067,264,225
202309,324,4245,237,145
202310,431,4473,292,176
202311,332,4596,249,240
202312,476,5224,394,204
202401,308,3274,236,140
202402,434,3691,413,226
202403,344,3647,259,330
202404,386,4044,397,362
202405,370,3756,263,344
202406,371,3647,206,796
202407,365,3684,355,427
202408,399,4198,297,579
202409,420,4059,211,444
