"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200106,213418,1111269,405,4,25,1361
200112,247228,1011234,230,0,57,751
200206,320789,1086486,161,1,43,1289
200212,316005,955999,124,0,21,1213
200306,362630,1015752,147,0,26,1700
200312,365626,898393,231,0,14,1537
200406,434192,955937,758,0,48,1156
200412,412832,792620,797,0,42,697
200506,448056,841484,2314,0,93,379
200512,445605,702159,3064,0,133,168
200606,456378,771187,3817,0,200,83
200612,436287,666881,5030,0,123,57
200706,481273,761691,7931,0,295,78
200712,474689,655819,7962,0,155,187
200806,525311,697588,8559,0,106,117
200812,387924,485466,6717,0,114,96
200906,394637,510039,5485,1,48,118
200912,420819,627846,8978,0,134,147
201006,464326,608633,10984,20,99,168
201012,448813,452243,10815,2,157,64
201106,500100,494711,11628,3,704,73
201112,458436,429786,11415,10,500,45
201206,526339,494293,12901,117,873,310
201212,489609,473349,11498,441,807,288
201306,557686,567547,13628,334,1119,182
201312,544544,522858,15112,334,1500,238
201406,626920,611091,18910,925,2551,601
201412,600957,574575,17938,5612,4208,794
201506,668342,681635,23171,9370,4776,853
201512,615668,621376,21511,8079,5315,924
201606,685853,703677,26489,14272,5348,758
201612,607837,635697,25208,12333,5081,1221
201706,617788,735834,35998,14171,7847,1321
201712,455747,633515,36258,18549,6066,1236
201806,430769,820453,44386,21154,7688,790
201812,324856,669462,43860,21037,8068,1519
201906,353564,852083,53407,15054,12384,277
201912,268525,688039,57555,19972,25623,93
202006,137391,422445,52515,19615,31022,160
202012,167052,585418,115685,47444,76891,765
202106,132755,520611,136837,57973,73775,1009
202112,61937,391073,126967,56229,116645,1434
202206,68617,423898,159405,51156,115110,1784
202212,59285,397360,172034,49638,151765,2076
202306,66724,473113,211721,61948,152817,1110
202312,59446,425695,251080,79089,161405,1684
202406,58362,426534,296118,81824,167216,1148
202412,52188,322674,293001,86212,214653,176
