"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
2019,89522,111536,9485,5802,6902,2113
2020,47811,64948,11968,11874,7849,1816
2021,32105,63872,19212,15672,13294,3527
2022,28012,65794,24245,16041,17865,5433
2023,23987,72030,28859,27146,36390,11209
2024,18440,71081,35020,28346,41757,15077
2025,6828,35982,29762,16004,25017,10429
