"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201412,53811,24195,499,50,161,155
201503,186183,95702,1502,53,207,679
201506,195518,109677,1740,138,167,1072
201509,162932,85642,2457,249,229,736
201512,172813,99281,2075,220,565,694
201603,188797,117386,6271,366,392,1219
201606,214276,146714,7379,508,451,1429
201609,166137,106489,7618,346,342,1060
201612,179649,116438,9018,294,882,1103
201703,186787,143492,12728,379,605,1375
201706,205311,175808,14245,740,728,1825
201709,157320,127396,13676,976,1150,2117
201712,165327,154770,15037,1251,1644,3304
201803,160256,196430,16701,1040,1272,4359
201806,173350,232523,21052,1667,1190,7989
201809,140258,175936,19135,1287,1241,8060
201812,114490,169703,19165,1814,2782,7751
201903,117344,203827,22613,1859,2984,7710
201906,132198,243654,28038,1908,2929,10271
201909,100464,171879,25519,1582,2118,9436
201912,115284,176080,33242,2563,2757,5176
202003,83970,126463,29682,3462,4115,3212
202006,49489,66459,16805,2338,1295,1981
202009,98746,137725,40644,5838,4901,5377
202012,100420,117798,51541,12181,8253,5647
202103,63680,95672,41370,7331,3633,3410
202106,76490,137415,67192,12217,6008,3800
202109,58446,92241,51190,10927,5957,5359
202112,67546,93994,61907,13635,9140,4690
202203,51465,76880,47744,10676,7648,3699
202206,65484,118345,69399,13534,7401,5421
202209,57287,91830,57617,10822,7134,4185
202212,56056,94594,68692,13758,10057,4794
202303,51156,112610,73628,15339,11921,6198
202306,53249,127411,80762,17376,14459,7464
202309,41224,89899,68174,13764,11545,7577
202312,46414,98323,85062,18718,18427,10209
202403,43158,107675,90699,16993,12341,8440
202406,54271,132149,103815,16797,14979,9636
202409,41072,83270,87489,13234,13896,9182
202412,44368,102460,117557,18380,20678,11403
202503,39915,101215,123988,23242,21030,15657
202506,44977,114437,135004,38881,29272,18599
202509,38039,77047,104103,33570,27716,13652
