"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202201,346,1572,62,7,34,8
202202,383,1433,59,5,51,0
202203,379,2168,74,16,65,0
202204,392,1814,69,10,78,0
202205,540,2000,58,6,83,3
202206,499,2222,20,12,71,0
202207,652,2070,20,17,68,5
202208,643,1734,32,14,59,0
202209,357,1642,32,14,77,0
202210,589,1670,23,16,86,0
202211,241,1941,28,8,95,0
202212,335,1520,26,16,112,0
202301,408,1696,53,16,51,3
202302,575,1857,62,11,82,2
202303,352,1809,54,19,75,0
202304,687,1977,45,24,105,0
202305,555,2024,49,13,117,2
202306,699,2815,94,24,171,0
202307,696,2409,53,34,170,8
202308,647,2493,80,50,151,0
202309,426,2367,49,16,118,0
202310,631,1976,40,23,111,0
202311,396,2932,52,27,160,0
202312,534,2366,40,24,156,3
202401,419,2435,64,33,135,36
202402,610,2738,73,31,156,0
202403,644,2876,90,53,141,140
202404,630,3307,84,37,174,11
202405,747,2241,74,46,118,0
202406,707,3104,104,33,162,0
202407,478,3154,82,41,151,0
202408,580,2128,90,46,94,0
202409,436,1870,86,27,103,0
202410,683,2779,95,43,173,107
202411,486,3127,108,36,199,0
202412,445,2064,81,28,113,0
202501,294,2228,78,38,142,0
202502,348,2781,105,34,126,0
202503,363,3480,112,39,226,0
202504,427,3222,176,38,144,1
202505,376,3094,120,68,197,2
202506,399,3758,159,57,241,0
202507,361,3843,166,64,272,0
