"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Ethanol/Petrol","Plugin hybrid","Battery electric"
201201,16687,24554,0,211422,0,9
201202,11819,21040,0,202970,0,16
201203,13138,26766,0,243878,0,7
201204,11035,23948,0,209603,0,3
201205,15660,25007,0,233619,0,13
201206,16177,23218,0,301201,0,23
201207,17932,23876,0,309415,0,5
201208,20134,27034,0,358307,0,3
201209,16550,20789,0,240344,0,2
201210,19455,20689,0,286885,0,2
201211,17404,18277,0,261382,0,18
201212,21286,18717,0,303848,0,16
201301,18174,16470,0,262500,0,45
201302,13841,12085,0,196783,0,22
201303,16838,12900,0,238798,0,53
201304,19084,16832,0,281017,0,50
201305,18490,15520,0,266921,0,12
201306,18830,14782,0,269444,0,29
201307,19968,16426,0,287838,0,65
201308,18758,16033,0,278169,0,45
201309,18750,15145,0,260499,0,23
201310,20172,17795,0,275871,0,39
201311,17799,16755,0,253941,0,52
201312,20478,18366,0,297333,0,56
201401,17378,17064,0,265570,0,93
201402,15042,14891,0,216144,0,61
201403,14774,13144,0,201145,0,65
201404,18105,16010,0,245955,0,53
201405,18542,15875,0,243898,0,94
201406,15612,13864,0,221487,0,52
201407,18133,14952,0,247045,0,61
201408,16311,14656,0,228445,0,79
201409,17591,15981,0,249241,0,71
201410,17433,15899,0,258428,0,53
201411,17265,14654,0,248154,0,87
201412,21093,17851,0,314996,0,86
201501,14285,12900,0,217010,0,72
201502,10584,10123,0,158500,0,56
201503,14682,12830,0,198763,0,61
201504,13653,12424,0,185852,0,73
201505,12825,11866,0,180471,0,72
201506,11940,11681,0,181203,0,74
201507,13322,11818,0,194484,0,74
201508,11246,10903,0,177859,0,100
201509,11970,10926,0,169869,0,82
201510,10752,10421,0,164256,0,55
201511,10493,8953,0,170039,0,65
201512,13764,11305,0,195714,0,62
201601,9828,7494,0,132454,0,58
201602,10148,6631,0,125415,0,64
201603,14190,8019,0,151120,0,60
201604,12807,6105,0,138772,0,137
201605,12712,6142,0,143453,0,41
201606,13763,6182,0,146579,0,91
201607,13661,6033,0,155281,0,48
201608,13668,6423,0,158124,0,59
201609,12757,7273,0,134957,0,79
201610,12004,6719,0,136193,0,93
201611,13779,6363,0,153445,0,159
201612,16945,7111,0,174955,0,202
201701,11805,4678,0,127106,0,178
201702,10631,4337,0,117500,0,157
201703,13888,5870,0,164203,0,227
201704,12809,5083,0,134570,0,176
201705,14445,5953,0,169784,0,208
201706,15050,5801,0,168394,0,238
201707,16046,5609,0,157115,0,268
201708,16295,6746,0,186474,0,627
201709,13729,6065,0,173628,0,384
201710,16518,5812,0,174369,0,243
201711,16021,5961,0,175425,0,240
201712,19328,6987,0,178653,0,350
201801,15345,5937,0,154303,0,272
201802,13331,5346,0,133063,0,254
201803,16716,6947,0,176363,0,367
201804,18063,7138,0,184670,0,367
201805,17825,7377,0,169787,0,302
201806,18713,7471,0,168803,0,382
201807,20321,7045,0,181446,0,262
201808,20378,7640,0,211318,0,262
201809,19127,5907,0,179813,0,286
201810,20727,7356,0,216671,0,405
201811,17920,6738,0,196776,0,374
201812,22794,7033,0,195160,0,437
201901,17626,5832,0,167381,0,370
201902,16173,6053,0,167760,0,287
201903,18310,5750,0,175578,0,336
201904,20604,6311,0,194518,0,290
201905,21655,6196,0,206391,0,357
201906,20784,5946,0,186549,0,716
201907,23265,5962,0,202674,0,960
201908,22345,6481,0,201829,0,867
201909,21516,6533,0,194701,0,1264
201910,22965,6378,0,210454,0,1989
201911,21179,5713,0,202685,0,2013
201912,24800,6698,0,218130,0,2409
202001,19764,4629,0,158721,0,1568
202002,18488,5383,0,167375,0,2053
202003,15685,4005,0,135044,0,1570
202004,8587,1292,0,41142,0,442
202005,9021,2349,0,44734,0,601
202006,13813,5389,0,102259,0,1334
202007,17887,5829,0,138040,0,1668
202008,17721,5882,0,148276,0,1943
202009,22241,6459,0,168352,0,2113
202010,21775,5909,0,175742,0,2273
202011,21968,5763,0,184524,0,2231
202012,24204,6041,0,200790,0,1949
202101,19089,3891,1181,138279,0,140
202102,15780,3737,1262,137582,0,127
202103,19549,3925,1773,152104,0,99
202104,20955,4142,2645,136352,0,63
202105,20551,4923,3016,147002,0,86
202106,21059,5768,3283,139318,0,224
202107,25384,5429,3442,127771,0,183
202108,27111,5352,3639,122227,0,234
202109,25038,4153,2489,110650,0,267
202110,21090,3789,2405,122731,0,382
202111,22171,3878,3162,131895,0,343
202112,26408,4600,3833,158437,0,712
202201,15880,3389,2190,94947,0,368
202202,15235,4016,3071,100591,0,406
202203,18605,3913,3331,109035,0,517
202204,19386,3791,2662,110431,0,461
202205,21184,4620,2831,146024,0,555
202206,19573,4874,2983,137171,0,1087
202207,19145,3947,2696,142969,0,440
202208,19211,4832,3300,166105,0,946
202209,20574,3729,4980,150145,0,1408
202210,17361,3285,3821,143600,0,634
202211,19542,3937,4268,163584,0,720
202212,23417,4471,4689,168680,0,898
202301,14893,2848,2129,108447,1610,754
202302,13188,3056,2448,99362,1214,638
202303,20435,4928,3365,155004,2037,584
202304,16555,3858,3115,126298,1113,558
202305,18801,5052,3423,136099,2396,610
202306,17034,4711,3229,151901,2377,618
202307,16790,4671,3974,186803,2538,946
202308,19139,5113,4579,163365,3605,1167
202309,17067,4975,3728,156962,2905,1827
202310,20052,6473,3865,170742,3317,2370
202311,19147,6648,3505,165439,3899,3196
202312,22788,8236,5080,189442,5180,6009
202401,15762,6687,3879,117776,3789,4354
202402,16371,7099,3304,121596,3509,3632
202403,16060,7776,4453,138786,3023,6132
202404,19957,7581,4893,165610,3608,6699
202405,17259,7816,4717,144744,3720,5170
202406,19181,8334,4395,160682,4810,5182
202407,21741,9006,4697,181442,5912,4698
202408,21408,8056,4208,179340,5343,5095
202409,22927,8478,4101,178144,4529,4696
202410,24613,10864,4296,198647,5627,6108
202411,21359,10050,5453,192921,6273,5407
202412,23820,10641,7797,187665,9466,4362
202501,19140,8839,6264,115558,6537,3716
202502,18266,8316,6005,131207,5740,4508
202503,19668,8099,6325,138693,6782,4804
202504,21653,8907,7463,146760,7659,4716
202505,21554,8546,8104,162224,7200,6989
202506,19816,8254,8450,153029,6966,5943
202507,22369,10873,10561,171878,7571,7007
202508,18212,10648,10143,160571,7527,7643
