"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
2020,6789,1,15,89
2021,17389,2,7,2123
2022,7006,0,38,3785
2023,4043,16,31,11380
2024,3945.980000,19,48,17811
2025,5483.249999,14,80,17594
2026,2245.000000,9,11,7868
