"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200201,2427,5857,0,0,0,0,1
200202,2946,7866,0,0,0,0,0
200203,3547,11497,0,0,0,0,0
200204,4246,10202,0,0,0,0,0
200205,3876,9986,0,0,0,0,0
200206,3643,10067,0,0,0,0,0
200207,3197,8988,0,0,0,0,0
200208,2304,7058,0,0,0,0,0
200209,2772,7566,0,0,0,0,0
200210,3224,9151,0,0,0,0,0
200211,3663,9671,0,0,0,0,0
200212,4437,9562,0,0,0,0,0
200301,2987,6062,0,0,0,0,0
200302,3430,7088,0,0,0,0,0
200303,4431,9871,0,0,0,0,0
200304,4663,8984,0,0,0,0,0
200305,4624,9729,0,0,0,0,0
200306,4254,10698,0,0,0,0,0
200307,3504,9099,0,0,0,0,0
200308,3455,7268,0,0,0,0,0
200309,4780,8071,0,0,0,0,0
200310,4083,8926,0,0,0,0,0
200311,3589,8059,0,0,0,0,0
200312,4150,7741,0,0,0,0,0
200401,1960,6034,0,0,0,0,0
200402,3279,7377,0,0,0,0,0
200403,3055,8655,0,0,0,0,0
200404,3437,8732,0,0,0,0,0
200405,3598,8677,0,0,0,0,0
200406,3897,9073,0,0,0,0,0
200407,3653,7116,0,0,0,0,0
200408,2628,6967,0,0,0,0,0
200409,3576,7524,0,0,0,0,0
200410,3530,7734,0,0,0,0,0
200411,3766,7656,0,0,0,0,0
200412,3829,7220,0,0,0,0,0
200501,2944,5775,0,0,0,0,224
200502,2333,5382,0,0,0,0,129
200503,3072,7831,0,0,0,0,154
200504,2893,9565,0,0,0,0,210
200505,3265,9878,0,0,0,0,241
200506,3419,9527,0,0,0,0,268
200507,2531,7315,0,0,0,0,197
200508,2662,7665,0,0,0,0,200
200509,2585,5948,0,0,0,0,148
200510,3119,7011,0,0,0,0,197
200511,3182,6968,0,0,0,0,197
200512,3315,6836,0,0,0,0,190
200601,2460,5172,0,0,0,0,189
200602,2290,5981,0,0,0,0,191
200603,2958,8058,0,0,0,0,269
200604,2763,8448,0,0,0,0,268
200605,3446,9488,0,0,0,0,297
200606,3243,7943,0,0,0,0,319
200607,2640,6973,0,0,0,0,291
200608,2651,7122,0,0,0,0,338
200609,2746,5858,0,0,0,0,265
200610,3334,7369,0,0,0,0,276
200611,3321,7195,0,0,0,0,259
200612,3021,6259,0,0,0,0,286
200701,2794,6139,0,0,0,0,214
200702,2607,6331,0,0,0,0,254
200703,3218,8188,0,0,0,0,360
200704,3177,8409,0,0,0,0,388
200705,3474,8957,0,0,0,0,398
200706,3434,8933,0,0,0,0,285
200707,3057,8183,0,0,0,0,312
200708,2754,7350,0,0,0,0,316
200709,2474,6464,0,0,0,0,239
200710,3430,8434,0,0,0,0,256
200711,3295,7585,0,0,0,0,282
200712,3045,7164,0,0,0,0,342
200801,2905,6872,0,0,0,0,305
200802,2632,7662,0,0,0,0,352
200803,2793,9076,0,0,0,0,429
200804,3671,10254,0,0,0,0,857
200805,2973,8177,0,0,0,0,702
200806,3187,9841,0,0,0,0,767
200807,2943,9155,0,0,0,0,843
200808,2250,7500,0,0,0,0,720
200809,2999,8519,0,0,0,0,616
200810,3108,9142,0,0,0,0,723
200811,2654,8259,0,0,0,0,471
200812,2503,7229,0,0,0,0,572
200901,2216,6221,0,0,0,0,405
200902,2240,7284,0,0,0,0,299
200903,2237,9860,0,0,0,0,313
