"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2019,33041,5726,3725,165,0,24,0
2020,32906,5580,4684,230,0,239,0
2021,42736,9168,5427,214,34,262,1
2022,36189,8294,3487,498,171,624,0
2023,46857,11605,4417,815,306,1671,0
2024,56250,15830,5965,2006,14,2918,14
2025,24494,8232,2661,1126,16,2073,69
