"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2014,53810,24194,499,50,161,155
2015,678834,378505,7734,658,1161,3130
2016,690711,466079,30202,1505,2032,2969
2017,645188,578687,55437,3319,4027,6434
2018,520376,751147,75561,5645,6193,23239
2019,397649,771928,108677,7417,10366,27859
2020,275574,426956,137966,23303,18152,14203
2021,191445,389874,219902,43221,24120,15397
2022,150590,344782,239200,47840,31462,15786
2023,123489,389761,303266,62687,54846,27381
2024,109418,382410,392310,59178,58935,34906
2025,54185,232884,319277,77828,63721,39052
