"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201112,58772,44166,5912,360,0,19,3595
201206,441270,283702,61616,2801,0,292,29160
201212,311999,184166,67794,4038,0,228,24640
201306,391215,231819,65248,6643,0,402,36685
201312,313881,168858,50316,7663,0,449,31348
201406,424583,225528,62975,10925,0,548,34028
201412,328450,167395,61021,9546,0,531,38036
201506,485559,267388,71647,13005,0,919,35086
201512,390519,222864,48880,12326,0,501,27622
201606,588855,352405,57358,19610,0,660,26889
201612,464944,245497,44745,18450,0,710,16771
201706,646114,370633,72177,33583,0,944,16544
201712,477130,257130,57414,32458,0,935,16114
201806,606250,377312,68805,42273,1794,2199,26578
201812,380511,300466,56299,39754,2443,2749,10749
201906,461828,469455,72395,55423,2238,4955,16801
201912,304789,382514,64129,53121,4578,5578,21726
202006,205292,252301,37241,62423,5795,9943,13615
202012,253416,270105,56836,160533,21533,22528,17972
202106,214807,285623,57089,244181,37923,30352,20570
202112,116558,151601,50645,182977,31318,37132,10845
202206,142653,191562,59835,229011,37118,25073,7606
202212,123829,175234,58930,225714,30593,24464,3126
202306,165212,237757,74817,300377,39738,32819,1047
202312,117057,211965,68767,274689,30365,33845,857
202406,130527,272953,79253,348534,29173,35098,1212
202412,87993,186826,66156,285160,23464,30884,29
202506,85020,224943,77456,382818,45450,44866,3
202512,37297,100727,42497,192583,31984,21499,2
