"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201901,15350,16,1,0
201902,13889,11,0,1
201903,13257,11,0,1
201904,13594,36,1,2
201905,14898,32,3,2
201906,12467,40,1,0
201907,13278,31,0,0
201908,13525,37,1,0
201909,14716,24,0,2
201910,14138,33,0,3
201911,13406,15,0,3
201912,15763,53,0,6
202001,15750,48,2,1
202002,13837,51,1,1
202003,7622,41,0,1
202006,5216,44,0,0
202007,10980,50,2,11
202008,12347,48,1,0
202009,14515,45,0,1
202010,15241,62,1,8
202011,14852,62,1,3
202012,13777,91,2,0
202101,13871,71,0,7
202102,11212,43,0,1
202103,14829,81,1,2
202104,12784,102,5,2
202105,13755,80,1,1
202106,13747,103,6,1
202107,11823,94,8,1
202108,14734,141,2,2
202109,16618,137,15,6
202110,16539,104,3,4
202111,17456,182,5,2
202112,15928,226,12,4
202201,15472,167,13,6
202202,13682,153,9,3
202203,15970,187,17,8
202204,13075,153,15,13
202205,15914,222,11,21
202206,14038,171,10,11
202207,13304,184,9,3
202208,14280,234,8,10
202209,16104,283,3,13
202210,14119,226,8,18
202211,15281,213,4,26
202212,13624,211,4,33
202301,16846,272,6,21
202302,14145,248,6,11
202303,17639,356,18,15
202304,13203,326,13,29
202305,16380,304,28,17
202306,14765,290,28,17
202307,14489,286,37,17
202308,15798,371,38,31
202309,14289,372,33,27
202310,13789,375,46,26
202311,13426,361,29,29
202312,12549,383,22,6
202401,15140,449,31,29
202402,14921,416,28,19
202403,12463,425,16,41
202404,14029,472,23,32
202405,12941,549,27,31
202406,11590,599,22,29
202407,12048,515,16,29
202408,13639,566,21,30
202409,14627,547,10,65
202410,14081,473,28,38
202411,13990,438,12,31
202412,13194,497,31,61
202501,17838,617,27,50
202502,14836,523,28,39
202503,16017,665,35,62
202504,15530,668,26,50
202505,15562,680,45,50
202506,15844,744,33,104
202507,16063,745,66,82
202508,17228,844,69,73
202509,17032,797,74,60
202510,17972,780,81,48
202511,18240,814,77,62
202512,19375,971,79,71
202601,21895,999,100,75
202602,22258,1092,90,72
202603,21798,1039,93,67
202604,20877,1295,129,140
202605,21718,1184,145,90
