"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202203,1108,5173,195,28,150,8
202206,1431,6036,147,28,232,3
202209,1652,5446,84,45,204,5
202212,1165,5131,77,40,293,0
202303,1550,5725,162,49,269,114
202306,1938,7172,178,71,401,3
202309,1325,7602,202,131,478,11
202312,1331,8190,172,104,534,28
202403,1405,9315,216,133,438,0
202406,1336,9433,247,114,387,9
202409,720,7931,258,114,325,2
202412,1175,8573,284,106,408,12
202503,1319,9346,302,110,507,22
202506,1202,10074,455,163,582,3
202509,949,9928,452,162,684,33
202512,1211,10274,836,131,746,15
202603,756,5304,413,106,397,8
