"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
200503,272226,0,0,0
200506,255285,0,0,0
200509,266704,0,0,0
200512,337553,0,0,0
200603,282177,0,0,0
200606,251425,0,0,0
200609,266089,0,0,0
200612,340045,0,0,0
200703,280222,0,0,0
200706,240238,0,0,0
200709,258225,0,0,0
200712,321205,0,0,0
200803,263962,0,0,0
200806,250357,0,0,0
200809,248063,0,0,0
200812,263162,0,0,0
200903,195485,0,0,0
200906,160809,0,0,0
200909,173874,0,0,0
200912,224757,0,0,0
201003,188996,0,0,0
201006,181974,0,0,0
201009,194825,0,0,0
201012,254618,0,0,0
201103,210882,0,0,0
201106,202246,0,0,0
201109,218212,0,0,0
201112,274553,0,0,0
201203,233575,0,0,0
201206,228666,0,0,0
201209,239665,0,0,0
201212,286136,0,0,0
201303,247548,0,0,0
201306,255143,0,0,0
201309,253901,0,0,0
201312,308506,0,0,0
201403,251418,0,0,0
201406,249536,0,0,0
201409,289673,0,0,0
201412,346338,0,0,0
201503,306498,0,0,0
201506,304206,0,0,0
201509,335875,0,0,0
201512,407865,0,0,0
201603,347315,798,29,69
201606,373604,1787,87,68
201609,395723,2474,148,40
201612,482258,2431,257,77
201703,376398,2134,283,70
201706,363567,2289,211,52
201709,363121,2011,191,56
201712,421303,2915,283,59
201803,334798,3183,391,46
201806,340739,3867,539,56
201809,345169,3879,335,39
201812,388477,5093,411,64
201903,327588,4862,504,98
201906,302694,4663,158,55
201909,308574,6039,265,57
201912,353467,8374,438,95
202003,289440,6477,714,100
202006,135849,3608,308,57
202009,222705,4593,427,124
202012,277664,7292,537,168
202103,250978,9190,528,143
202106,246403,12458,626,198
202109,224769,11597,794,162
202112,245506,9202,1544,637
202203,242364,9149,1238,631
202206,253034,9911,1025,1072
202209,250651,9791,1008,1187
202212,297614,12008,1304,2741
202303,301265,10641,1180,2040
202306,301913,11536,1361,3266
202309,324619,13653,1488,3580
202312,361599,18538,1749,5286
202403,327921,19181,1344,5112
202406,329135,19363,1990,7072
202409,338348,23431,1845,6433
202412,378012,30051,2815,5673
202503,331665,26503,2533,4324
202506,206933,16271,1592,3461
