"YYYYMM","Diesel","Petrol","Petrol blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200106,61952,194090,30224,0,0,17,1550
200112,60180,165202,27073,2,0,76,1175
200206,67951,194820,32563,1,0,67,1296
200212,72197,185995,31514,0,0,77,1133
200306,93519,210221,35696,2,0,148,1366
200312,93564,221743,37849,2,0,114,1283
200406,117498,264963,47456,2,0,94,1603
200412,119571,265860,49176,4,0,108,1887
200506,132687,272405,52838,3,0,69,1973
200512,125453,291277,55241,1,0,99,1871
200606,162037,331166,66576,1,0,92,2323
200612,149462,329968,71709,1,0,126,2935
200706,193733,372049,89965,4,0,82,3535
200712,192870,381584,91427,2,0,180,2639
200806,251589,408128,89503,0,0,216,2126
200812,218832,350090,82374,2,0,296,2087
200906,250213,418845,97477,3,0,173,2050
200912,284503,465289,100881,5,0,165,1802
201006,351479,543668,118678,3,0,111,1982
201012,360144,593997,119071,1,0,155,2912
201106,434117,598994,134384,2,0,341,2147
201112,467006,512755,122034,0,0,275,2623
201206,654135,532846,124508,1,0,295,2866
201212,620097,443454,98480,3,0,117,2319
201306,642524,477520,93897,3,0,180,2209
201312,555094,452750,76943,2,0,182,1816
201406,601795,506942,88386,3,0,178,1786
201412,532556,538409,94344,1,0,296,2017
201506,565432,604531,95620,6,0,341,1946
201512,521061,607277,87692,82,0,335,2045
201606,523864,684534,102128,266,0,301,4682
201612,489094,706058,97582,248,0,308,2671
201706,528703,797150,106499,503,0,389,3013
201712,527817,807174,100264,170,0,431,2329
201806,550516,845580,108595,349,0,564,3381
201812,473995,819574,106178,11344,0,509,2544
201906,461097,813111,109297,37296,0,577,3082
201912,405581,804125,97021,38028,0,440,1697
202006,244612,594993,60317,26955,0,733,1199
202012,232931,1048666,112144,58643,0,2532,3092
202106,246478,960429,118060,54813,0,3616,2897
202112,280653,1060216,127079,70066,0,8668,3355
202206,306549,1056314,181276,63174,0,14334,2823
202212,327603,1066771,170862,126194,0,18871,1373
202306,321014,1058834,166796,177051,0,33692,123
202312,315545,1090038,240936,145624,0,39577,100
202406,340631,1037987,249077,164319,1,43359,121
202412,346713,1027444,294191,172653,40,46375,138
202506,367089,828698,508112,170822,50,71628,248
202512,387643,492909,996574,176992,21,99329,235
202606,445598,134086,1518541,214801,14,145035,1076
