"YYYYMM","ICE","Mild hybrid","Non-plugin hybrid","Plug-in hybrid","Battery electric"
1994,108327,0,0,0,0
1995,146430,0,0,0,0
1996,162039,0,0,0,0
1997,175475,0,0,0,0
1998,140867,0,0,0,0
1999,104421,0,0,0,0
2000,108755,0,0,0,0
2001,98331,0,0,0,0
2002,102516,0,0,0,0
2003,119526,0,0,0,0
2004,148586,0,0,0,0
2005,182346,0,1,0,0
2006,190583,0,56,0,0
2007,227677,0,66,0,0
2008,239618,0,217,0,0
2009,165209,0,94,0,0
2010,275121,0,149,0,0
2011,333785,0,261,0,6
2012,338524,0,297,0,5
2013,377935,0,300,0,5
2014,337353,0,224,14,3
2015,282029,0,167,23,13
2016,305333,0,176,9,22
2017,360360,0,400,15,125
2018,415975,0,866,68,129
2019,371688,38,850,85,217
2020,257823,80,696,79,157
2021,412233,696,1796,300,556
2022,419873,2583,2552,474,1295
2023,304532,3197,4042,506,1588
2024,283265,6940,6507,1147,4507
2025,130823,6927,4121,1220,2537
