"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
202009,1591,0,10,52
202012,5198,1,5,37
202103,3706,2,2,66
202106,3267,0,0,110
202109,5158,0,3,1177
202112,5258,0,2,770
202203,2939,0,11,444
202206,2982,0,11,347
202209,638,0,11,2055
202212,447,0,5,939
202303,643,0,11,845
202306,1129,12,9,1672
202309,929,4,7,6075
202312,1342,0,4,2788
202403,856,4,6,2749
202406,959,5,11,5031
202409,917,7,25,6936
202412,1213.980000,3,6,3095
202503,816.959998,2,14,2392
202506,1366.560000,2,33,6403
202509,1765.730001,7,25,5485
202512,1534,3,8,3314
202603,1083,9,1,2598
202606,755.000000,0,6,4494
202609,407,0,4,776
