"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201403,14362,20242,71,28,12
201406,13398,20122,66,51,17
201409,11899,17463,65,51,15
201412,12001,15268,75,65,11
201503,13759,19419,83,70,7
201506,12744,20240,139,63,7
201509,11922,19735,127,94,15
201512,13041,19022,133,47,15
201603,14676,23145,346,82,11
201606,14238,24020,321,50,12
201609,12277,21122,330,65,16
201612,13086,19392,424,80,18
201703,15064,23487,568,146,34
201706,13993,23672,684,173,40
201709,12142,22097,911,163,54
201712,11922,21374,1188,178,69
201803,13258,27001,1703,217,89
201806,13463,28379,2067,217,83
201809,12843,24820,1797,238,110
201812,11980,19641,1901,316,67
201903,11718,24126,2517,572,111
201906,10540,27431,2492,594,584
201909,10568,25728,2782,700,786
201912,10267,23212,4052,490,847
202003,9392,22380,5461,1086,794
202006,7136,16015,3944,733,470
202009,8698,21169,6049,1450,535
202012,8554,18226,6053,1891,286
202103,7587,19856,8449,1910,401
202106,7214,19666,9121,3220,369
202109,6632,17033,7516,3400,258
202112,5610,13358,6993,5067,193
202203,5208,14931,7465,4601,185
202206,4410,15680,8002,5479,146
202209,3545,13014,7119,6625,293
202212,2620,10774,6260,6472,272
202303,2662,11017,6679,8118,162
202306,2977,12684,8138,10852,205
202309,2555,10459,9176,10667,230
202312,2162,8309,8578,9966,167
202403,1904,9732,8498,7550,145
202406,2096,11667,8509,8730,91
202409,1766,9090,8750,9123,76
202412,1569,9452,7953,10516,85
202503,1584,8076,6882,10718,48
202506,1976,9940,6106,12697,53
202509,2076,7907,5105,12480,57
202512,2040,8029,4593,12591,25
202603,1717,7462,3580,13283,16
202606,1767,9272,3255,15286,32
