"YYYYMM","Diesel","Petrol","LPG / LPG blend","Hybrid","Battery electric","Others"
201301,963,3374,144,7,0,8
201302,1126,3629,201,3,0,3
201303,1396,5234,231,3,1,5
201304,1950,6918,251,2,0,11
201305,1472,4075,178,1,0,6
201306,1784,4540,223,2,2,8
201307,2050,5136,223,9,1,11
201308,3338,6667,283,6,3,12
201309,1271,3577,181,2,0,5
201310,1230,3516,186,15,0,6
201311,1258,3101,166,140,0,0
201312,1260,2959,128,1,3,2
201401,865,2142,124,134,0,0
201402,1143,2517,124,15,1,4
201403,772,2067,106,6,0,0
201404,378,886,58,3,1,0
201405,702,725,53,13,1,0
201406,1320,1625,138,12,2,0
201407,1618,2089,219,22,5,2
201408,1545,2724,286,10,8,1
201409,2190,3933,414,13,6,2
201410,2488,4240,472,26,9,3
201411,2423,4388,428,37,5,3
201412,2707,4703,503,51,11,2
201501,1081,1984,202,13,7,0
201502,1539,1932,247,9,18,0
201503,1292,1537,215,14,18,0
201504,1794,2325,259,23,16,3
201505,1529,2092,289,112,23,0
201506,2060,2212,335,145,24,4
201507,2978,3547,563,28,48,4
201508,2021,2418,396,108,32,5
201509,2491,2879,486,132,56,7
201510,3148,3821,615,58,60,2
201511,2935,3308,525,48,53,3
201512,3681,3632,593,56,36,0
201601,1749,2184,301,13,44,0
201602,2372,2788,408,35,63,3
201603,2724,3153,421,61,123,4
201604,3045,3460,450,44,116,2
201605,2020,2660,314,21,56,0
201606,2223,2761,440,22,70,3
201607,2720,2954,413,27,98,1
201608,2574,3062,490,25,85,0
201609,2400,3312,456,60,60,0
201610,2504,3217,384,107,68,2
201611,3229,3982,482,128,146,0
201612,3158,4179,515,96,229,0
201701,1930,2677,296,56,125,0
201702,2103,2614,313,33,148,0
201703,2918,3853,428,124,191,0
201704,2863,3471,408,103,166,1
201705,2763,3533,406,148,152,0
201706,2555,3550,378,469,159,2
201707,2457,3502,415,103,126,0
201708,2764,3467,341,162,129,0
201709,3232,4157,264,180,136,3
201710,3325,3788,330,154,187,1
201711,3170,3812,417,161,148,0
201712,4079,4204,456,299,127,1
201801,2821,3358,436,190,106,0
201802,2633,2791,349,100,151,0
201803,3256,3101,385,130,124,0
201804,2809,3344,449,134,132,0
201805,2684,3529,420,124,199,1
201806,2542,3478,332,114,203,0
201807,2452,3556,334,114,240,1
201808,2795,3874,358,164,200,0
201809,2381,3534,338,151,222,0
201810,2603,3831,374,182,314,2
201811,2584,3825,358,196,261,1
201812,4610,4009,494,135,184,1
201901,28192,7587,3139,115,163,5
201902,48113,13000,6491,290,155,6
201903,24516,10278,4079,280,165,6
201904,8356,6378,1427,289,225,2
201905,7548,6472,1397,507,283,2
201906,5030,5897,958,345,238,2
201907,5969,7393,980,277,310,3
201908,6098,7899,1153,464,318,1
201909,5765,7002,1013,372,282,1
201910,7110,8792,1555,513,310,1
201911,7372,8640,1408,433,338,1
201912,7887,9769,1334,513,250,1
202001,6032,8669,590,422,246,0
202002,6331,9274,793,427,281,1
202003,4608,7072,503,285,173,1
202004,1395,2092,90,191,34,0
202005,5664,8625,1064,683,339,0
202006,6164,9156,993,533,294,2
202007,8622,12152,1344,687,317,1
202008,7247,10363,1363,548,270,5
202009,8508,11798,1435,714,282,2
202010,9622,12489,1613,700,248,0
202011,8559,10800,1392,601,218,0
202012,9662,13873,1719,809,246,2
202101,6798,8767,1405,460,170,2
202102,7146,8795,1308,605,175,2
202103,10008,11994,1679,913,262,0
202104,11119,13677,1761,1160,255,2
202105,9491,11808,1397,985,203,2
202106,9893,12284,1537,1021,212,1
202107,13276,15147,2302,1228,240,1
202108,11923,13140,1908,895,281,4
202109,12717,14961,2016,1038,358,1
202110,13606,14174,2087,1023,428,3
202111,14393,15025,2251,1132,432,1
202112,14307,16202,1513,1568,450,2
202201,9653,10145,1109,676,299,0
202202,8187,9251,1026,772,329,1
202203,2866,2002,207,118,90,0
202204,7266,5327,604,293,224,1
202205,20226,9973,1176,635,664,0
202206,21807,10812,1484,753,585,0
202207,11191,8020,888,658,993,3
202208,4208,5604,600,696,1045,0
202209,3745,6410,656,626,1059,2
202210,3628,6336,613,612,1140,2
202211,4403,6747,593,694,1062,2
202212,5062,7473,607,834,1175,1
202301,4625,5793,536,686,1074,0
202302,4783,6158,544,794,1255,0
202303,6126,7556,649,1112,1748,1
202304,6100,7292,602,1144,1721,1
202305,6655,8264,673,1278,2183,0
202306,7033,8331,696,1326,2739,0
202307,6794,8496,738,1273,2825,3
202308,7770,9953,890,1612,3307,0
202309,7157,10104,921,1521,3680,0
202310,7109,10156,962,1635,3959,0
202311,7667,10994,1104,1653,3964,0
202312,7504,10885,908,1493,3878,0
202401,5840,8544,745,1284,3230,0
202402,6215,10185,846,1444,3775,0
202403,6747,11105,1024,1656,3894,0
202404,5737,10294,919,1591,3542,3
202405,5500,10745,912,1998,3754,0
202406,5157,9649,892,1897,3713,0
202407,5828,10525,873,2200,4304,1
202408,8122,13838,1039,2999,6030,1
202409,4979,8108,662,1776,3605,0
202410,5196,8343,619,1751,3757,0
202411,4851,7739,552,1674,3297,0
202412,4685,8135,588,1744,3397,0
