"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201803,270676,3856,0,4,5
201806,250841,5709,0,16,2
201809,243260,5947,0,61,0
201812,217973,4544,0,28,5
201903,295946,6924,0,11,2
201906,259385,6604,0,57,7
201909,249405,6988,0,68,6
201912,186830,5931,0,555,3
202003,255049,8785,0,580,5
202006,168658,4856,0,248,5
202009,185727,6967,322,231,9
202012,178611,7767,762,229,0
202103,232030,11622,1855,463,0
202106,196243,8510,1960,445,0
202109,157162,6998,1560,589,0
202112,151133,7209,1685,461,0
202203,233815,16928,2969,1251,0
202206,210776,15599,2978,1790,0
202209,199666,16927,2845,2832,0
202212,161785,14114,2539,3801,0
202303,216167,24254,3388,14660,0
202306,178089,21549,2884,17043,0
202309,158138,19134,3262,18637,0
202312,122451,19531,2169,26021,8
202403,140710,38012,2710,22333,14
202406,114092,33608,2186,15346,7
202409,104660,32135,2414,17137,8
202412,83219,22850,2062,15766,12
202503,111796,37919,4132,25476,13
202506,63982,22413,5690,18358,7
