"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201903,6498,1249,735,18,0,5,0
201906,7354,1323,863,36,0,6,0
201909,9273,1405,1060,58,0,8,0
201912,9916,1749,1067,53,0,5,0
202003,6568,996,871,40,0,148,0
202006,5823,1080,867,52,0,14,0
202009,10477,1616,1437,74,0,29,0
202012,10038,1888,1509,64,0,48,0
202103,9758,1979,1431,34,4,51,0
202106,10656,2486,1635,69,7,50,0
202109,11988,2512,1377,52,11,77,0
202112,10334,2191,984,59,12,84,1
202203,8421,1691,721,100,34,108,0
202206,9610,2291,875,119,38,160,0
202209,9540,2337,911,152,48,209,0
202212,8618,1975,980,127,51,147,0
202303,8704,1969,885,138,40,280,0
202306,11593,3187,1089,246,56,363,0
202309,13479,3355,1107,207,104,448,0
202312,13081,3094,1336,224,106,580,0
202403,12270,3301,1340,406,3,589,0
202406,15890,5094,1565,673,2,588,0
202409,15342,3980,1525,449,1,847,0
202412,12748,3455,1535,478,8,894,14
202503,11054,3039,1226,456,3,926,29
202506,13440,5193,1435,670,13,1147,40
