"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201112,58772,44166,5912,360,0,19,3595
201201,76460,51609,5971,416,0,57,4215
201202,73666,47661,6706,286,0,30,3675
201203,78432,47157,8644,446,0,27,4753
201204,68029,42770,13693,337,0,46,5956
201205,75954,51453,14259,657,0,29,5850
201206,68729,43052,12343,659,0,103,4711
201207,59202,35524,10870,560,0,30,3886
201208,31046,16942,6439,254,0,16,2422
201209,58235,34181,12902,677,0,20,4586
201210,60929,36510,14840,902,0,80,5090
201211,56166,32925,13066,898,0,25,4796
201212,46421,28084,9677,747,0,57,3860
201301,59876,36678,11219,964,0,33,5485
201302,59308,35396,9369,895,0,8,4237
201303,72464,39364,11914,1113,0,36,7662
201304,61082,37740,10168,1051,0,56,6628
201305,72518,44579,11441,1450,0,118,6605
201306,65967,38062,11137,1170,0,151,6068
201307,58777,32507,9595,1302,0,70,5767
201308,28429,15561,5372,449,0,40,3459
201309,58414,31612,9645,1542,0,69,5842
201310,61269,34267,9264,1501,0,79,5364
201311,57552,29233,8709,1413,0,122,5700
201312,49440,25678,7731,1456,0,69,5216
201401,65932,35648,9715,1546,0,34,5852
201402,66011,37341,9836,1553,0,63,4313
201403,80232,41533,10572,1769,0,132,5877
201404,68496,35884,8896,1414,0,47,5066
201405,72895,37715,12391,2713,0,130,6711
201406,71017,37407,11565,1930,0,142,6209
201407,63773,31277,11438,1405,0,98,6700
201408,29604,14720,5346,646,0,33,3348
201409,58964,31977,10937,1853,0,72,7591
201410,66627,33914,12423,2112,0,151,7944
201411,60428,28893,11357,1841,0,91,6496
201412,49054,26614,9520,1689,0,86,5957
201501,72739,39025,11990,2168,0,143,6441
201502,76397,40394,11150,1906,0,115,5597
201503,90886,50317,12168,2442,0,327,6229
201504,82300,46390,12641,2014,0,91,5618
201505,81621,46206,11632,2161,0,92,5375
201506,81616,45056,12066,2314,0,151,5826
201507,71223,42931,10825,1668,0,90,5518
201508,33418,17980,4539,834,0,43,2742
201509,70611,43016,8950,2628,0,80,5767
201510,74481,42932,8766,2423,0,90,5316
201511,77872,41382,9020,2449,0,88,4447
201512,62914,34623,6780,2324,0,110,3832
201601,87734,51665,8698,3250,0,114,4702
201602,97451,58644,9411,3528,0,75,4774
201603,108341,65104,10297,3255,0,199,4812
201604,92067,59668,9495,2966,0,88,4412
201605,108062,62939,10091,3559,0,92,4237
201606,95200,54385,9366,3052,0,92,3952
201607,81055,42911,7894,2629,0,71,2807
201608,42503,22168,4340,1523,0,47,1559
201609,89251,50614,8264,3900,0,143,3174
201610,87209,46267,8262,3393,0,145,3130
201611,88842,44848,8384,3459,0,108,3256
201612,76084,38689,7601,3546,0,196,2845
201701,94940,58374,11413,4663,0,188,3089
201702,103619,61684,11642,5350,0,118,2620
201703,128041,75728,13847,5771,0,217,3514
201704,93913,50651,9725,4675,0,94,1982
201705,114475,68189,12803,6841,0,136,2656
201706,111126,56007,12747,6283,0,191,2683
201707,82114,45579,11449,5301,0,142,1978
201708,48546,24873,6056,2946,0,97,1586
201709,97453,51965,9713,5956,0,180,3264
201710,88706,50189,10900,6636,0,220,3184
201711,89265,47513,11240,6763,0,143,3279
201712,71046,37011,8056,4856,0,153,2823
201801,98988,58353,11203,7154,0,260,3209
201802,103177,58459,10484,6249,245,246,4287
201803,116994,72876,12466,7155,361,416,4506
