"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202201,99,763,224,9,15,
202202,37,668,367,29,0,0
202203,55,459,297,24,13,0
202204,37,382,296,17,15,0
202205,47,754,429,29,45,0
202206,42,514,404,15,48,0
202207,29,669,353,11,46,0
202208,22,327,243,18,34,0
202209,73,642,412,20,39,0
202210,37,419,323,12,33,0
202211,41,508,334,29,44,0
202212,25,456,244,20,31,0
202301,53,620,491,29,82,0
202302,30,583,336,30,32,0
202303,63,1010,583,51,64,0
202304,41,468,236,22,16,0
202305,56,959,618,37,42,0
202306,46,429,538,25,72,0
202307,39,865,589,83,109,0
202308,16,407,246,26,41,0
202309,25,715,642,44,99,0
202310,33,547,447,56,82,0
202311,28,494,546,76,100,0
202312,18,263,381,32,49,0
202401,85,630,679,68,65,0
202402,27,712,609,48,105,0
202403,28,509,678,76,146,0
202404,31,655,784,61,77,0
202405,37,587,589,47,41,0
202406,40,630,636,49,62,0
202407,16,676,533,56,79,0
202408,11,408,280,36,77,0
202409,18,566,498,59,200,0
202410,17,397,403,56,130,0
202411,16,373,460,55,168,0
202412,42,251,289,53,43,0
202501,25,609,689,93,149,0
202502,64,456,579,78,107,0
202503,43,706,685,63,105,0
202504,36,361,552,58,90,0
202505,36,546,589,38,119,0
202506,23,463,633,63,165,0
202507,36,456,697,85,164,0
202508,6,197,365,46,99,0
202509,28,452,724,77,151,0
