"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,191,1890,888,62,28,
202206,126,1650,1129,61,108,0
202209,124,1638,1008,49,119,0
202212,103,1383,901,61,108,0
202303,146,2213,1410,110,178,0
202306,143,1856,1392,84,130,0
202309,80,1987,1477,153,249,0
202312,79,1304,1374,164,231,0
202403,140,1851,1966,192,316,0
202406,108,1872,2009,157,180,0
202409,45,1650,1311,151,356,0
202412,75,1021,1152,164,341,0
202503,132,1771,1953,234,361,0
202506,95,1370,1774,159,374,0
202509,70,1105,1786,208,414,0
