"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Others"
200006,7868,56464,0,0,-145121
200012,7435,41845,0,0,-140745
200106,8856,43026,0,0,-148414
200112,8295,35929,0,0,-149814
200206,11362,47216,0,0,-160154
200212,11340,41678,0,0,-155662
200306,10982,36409,0,0,-166740
200312,11293,37813,0,0,-160373
200406,13633,45430,0,0,-173935
200412,16421,47056,0,0,-163521
200506,17703,56875,0,0,-174467
200512,19184,54814,0,0,-169657
200606,21164,61476,0,0,-177127
200612,22493,51583,0,0,-168736
200706,24963,53770,0,0,-167747
200712,39955,43791,0,0,-149687
200806,40594,45462,0,0,-153058
200812,29846,34756,0,0,-140552
200906,24082,30557,0,0,-163643
200912,26925,30603,0,0,-158402
201006,33816,39809,0,0,-165714
201012,38843,41097,0,0,-154273
201106,39213,48124,0,316,0
201112,42348,39548,0,149,2
201206,35027,48680,0,281,1
201212,32919,52694,0,249,0
201306,28511,62648,0,164,27
201312,28924,59996,0,369,3
201406,29514,68393,8,614,14
201412,30030,58779,74,950,30
201506,31549,71561,130,1041,17
201512,32654,66137,276,3260,28
201606,41607,74628,206,245,36
201612,38604,65743,366,1020,14
201706,44508,78838,101,130,24
201712,32984,63769,520,561,38
201806,41604,77088,1652,524,3
201812,30870,64230,1474,1020,10
201906,32280,85648,1753,2569,7
201912,28082,70215,2127,2932,7
202006,22303,58276,4548,3705,2
202012,23506,62398,13687,10513,43
202106,15488,56013,18418,7393,3
202112,10031,39663,22024,17479,72
202206,8529,40972,12554,12149,3
202212,8062,34472,13885,18644,3
202306,7866,41601,9167,26036,1
202312,7118,36993,8051,36543,0
202406,6446,37591,3748,38888,0
202412,5751,27546,3319,50160,0
202506,4302,25879,2708,57118,15
202512,3861,12985,1431,42655,13
