"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200703,26861,72666,493,0,0,310
200706,15176,36974,317,0,0,262
200709,8425,18881,227,0,0,182
200712,1970,3692,30,0,0,88
200803,27547,62985,649,0,5,1531
200806,8177,21753,243,0,3,1107
200809,15269,9353,302,0,3,117
200812,1413,1125,27,0,3,17
200903,18651,13362,112,0,6,320
200906,7772,6140,83,0,0,276
200909,4797,3490,74,0,0,44
200912,1459,791,23,0,0,79
201003,25477,14932,352,0,1,1385
201006,17328,7139,224,0,15,768
201009,10449,4495,118,0,0,573
201012,3271,1554,42,0,2,345
201103,33961,13167,242,0,0,589
201106,20468,7753,169,0,35,715
201109,7617,2344,89,0,9,38
201112,1971,680,57,0,2,9
201203,33619,10882,358,0,24,3
201206,15731,4724,161,0,38,3
201209,7498,2337,86,0,70,3
201212,2197,619,36,0,10,3
201303,28529,10731,215,0,15,2
201306,10110,3538,115,0,7,3
201309,13430,4826,220,0,21,0
201312,1875,692,33,0,7,0
201403,36857,12384,541,2,101,15
201406,11272,4290,181,8,24,3
201409,20323,6804,240,22,81,6
201412,2299,774,39,7,20,2
201503,45648,17810,706,37,249,3
201506,12900,4604,193,21,64,6
201509,27448,10551,568,35,136,12
201512,2817,935,51,36,17,12
201603,58008,23168,1287,101,259,0
201606,13389,4704,329,54,27,0
201609,29084,11740,844,126,85,0
201612,2267,1030,111,18,21,0
201703,50714,22470,2365,137,298,12
201706,9508,5114,511,26,76,12
201709,23755,11768,1470,136,207,12
201712,1684,937,91,34,41,12
201803,40380,26919,3892,299,282,0
201806,7943,6211,817,141,247,0
201809,18633,14431,2110,252,645,0
201812,1411,844,108,53,59,0
201903,30823,26319,4933,618,1435,12
201906,7522,6512,1862,218,519,12
201909,14729,13840,3184,414,1020,12
201912,1482,898,215,99,470,12
202003,21865,18910,6337,1032,1650,0
202006,1488,953,276,136,239,0
202009,13016,11652,4065,1173,1724,0
202012,1864,1085,313,155,400,0
202103,17603,15646,9212,2729,2816,24
202106,5431,4656,2697,1434,1514,91
202109,10975,12361,6599,3289,3489,179
202112,1077,1088,739,439,827,12
202203,12879,13521,12732,3965,6235,573
202206,4621,4925,2489,994,2211,66
202209,9850,12239,5663,2479,6064,81
202212,831,1202,368,240,1168,12
202303,13287,18260,12684,4626,9297,12
202306,3758,5548,3507,1625,5010,12
202309,9538,12378,8252,3737,7419,12
202312,666,692,596,394,1126,12
202403,13645,18021,12178,5525,7035,12
202406,3631,5145,2875,1997,2808,12
202409,8906,10619,9242,4193,5388,12
202412,691,678,754,500,1335,4
202503,9848,15531,13659,8387,8778,0
202506,3258,4229,3129,2707,3681,0
202509,6777,9150,8982,6330,8773,0
202512,345,340,450,348,709,0
