"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen"
2017,1695488,352,83787,13541,122
2018,1689162,2028,91913,29132,707
2019,1589153,4379,97401,31962,4274
2020,1667623,13235,161451,39712,5786
2021,1380883,19701,220955,95742,8502
2022,1248622,13114,260944,154219,10164
2023,1214071,10796,374311,156874,4378
2024,975851,9174,495576,141713,3219
2025,734976,11898,468159,198495,6223
