"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2012,19566,284699,17636,0,215,740
2013,21356,302940,16934,0,100,277
2014,30195,334547,17755,0,54,289
2015,32639,337886,8321,0,56,124
2016,28497,356795,8421,1,22,57
2017,23110,363740,8483,86,766,5
2018,14561,360226,8507,161,598,30
2019,9530,344688,26072,278,3361,58
2020,8124,340349,40788,787,6243,54
2021,7945,306980,60041,907,6997,48
2022,7108,262072,76703,2236,16106,6
2023,9499,282906,94650,4526,24706,3
2024,7441,240079,115780,2761,37629,12
2025,7377,192270,129057,2587,32358,4
2026,2440,81615,73750,1668,19949,0
