"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201801,19927.702000,2910.249000,940.448000,32.214000
201802,21346.974000,1792.479000,622.054000,9.739000
201803,16517.643000,4180.762000,928.632000,5.886000
201804,13878.190000,3648.864000,548.181000,5.851000
201805,12996.722000,1839.338000,618.394000,9.244000
201806,13618.646000,2154.808000,1609.463000,7.741000
201807,15743.995000,2821.948000,302.572000,28.682000
201808,13991.830000,2650.560000,309.221000,65.854000
201809,7042.545000,1642.671000,241.689000,2.200000
201810,13429.455000,2705.368000,427.017000,15.839000
201811,9074.556000,1714.969000,338.323000,71.705000
201812,15894.135000,2998.756000,546.449000,37.817000
201901,11219.243000,4605.127000,500.550000,21.408000
201902,13152.643000,4360.259000,442.322000,24.361000
201903,47142.531000,7266.774000,695.466000,33.510000
201904,2172.024000,3865.415000,502.534000,9.950000
201905,4387.235000,3854.130000,520.986000,51.129000
201906,6630.100000,3251.689000,561.151000,137.195000
201907,9204.183000,2939.671000,609.179000,311.691000
201908,9274.764000,2356.641000,523.667000,249.588000
201909,9858.513000,2635.223000,657.139000,112.072000
201910,8125.707000,4250.062000,839.600000,150.337000
201911,8535.494000,2689.741000,862.689000,220.306000
201912,24917.028000,17706.059000,5315.863000,698.502000
202001,11198.876000,800.793000,121.870000,170.227000
202002,11057.479000,835.026000,88.731000,224.146000
202003,21373.449000,1325.803000,100.392000,259.113000
202004,820.405000,277.005000,44.934000,14.222000
202005,4044.088000,1008.329000,87.225000,39.635000
202006,10098.593000,1657.805000,238.951000,263.874000
202007,9831.220000,2009.418000,155.802000,92.132000
202008,9702.037000,1905.934000,336.406000,101.623000
202009,10219.623000,3868.092000,857.507000,138.692000
202010,5563.820000,3109.152000,329.843000,104.251000
202011,7882.215000,3681.608000,414.280000,88.793000
202012,31337.119000,16309.965000,3753.186000,229.247000
202101,13828.546000,781.345000,211.114000,197.652000
202102,9968.256000,2009.796000,513.235000,156.278000
202103,14564.828000,2845.183000,627.130000,645.080000
202104,15373.488000,3867.496000,719.049000,207.317000
202105,14547.887000,3222.871000,872.383000,2188.110000
202106,16858.302000,5762.155000,1504.316000,2389.077000
202107,12487.629000,3914.428000,707.372000,534.834000
202108,10482.011000,3655.945000,1035.608000,2769.115000
202109,6349.703000,1205.545000,587.999000,463.391000
202110,7625.131000,2811.813000,919.165000,828.208000
202111,11639.293000,4975.946000,1261.418000,1679.331000
202112,10428.206000,8538.628000,1778.616000,2039.857000
202201,12946.868000,2494.117000,810.528000,851.274000
202202,11344.394000,4279.550000,1544.379000,2572.278000
202203,11476.696000,2376.208000,1149.982000,732.040000
202204,14098.926000,3244.480000,1512.147000,1630.977000
202205,10567.295000,2610.906000,740.869000,1308.405000
202206,13015.432000,2265.387000,1052.373000,2192.168000
202207,11241.020000,2599.362000,526.345000,1108.686000
202208,10639.884000,2088.171000,779.892000,2618.388000
202209,8314.648000,1810.287000,865.138000,1761.349000
202210,10355.730000,2248.186000,1373.692000,4072.183000
202211,10741.969000,2371.649000,1366.041000,6637.835000
202212,21799.034000,5500.142000,6330.845000,15170.281000
202301,32296,5052,2921,6927
202302,19259,4512,1365,3996
202303,18299,4084,1580,5577
202304,11398,3452,1101,3482
202305,14761,4218,1305,4019
202306,13985,4536,1378,4833
202307,13891,4513,1642,3378
202308,13428,4361,1478,5460
202309,9308,3704,1132,3975
202310,5876,2852,648,2401
202311,6304,3322,470,2806
202312,1870,1366,137,1365
202401,20790,5846,2018,8693
202402,14840,3770,937,6596
202403,13252,4660,530,7109
202404,9120,3632,432,4587
202405,12440,4649,466,4836
202406,12970,5042,515,7415
202407,13100,6569,408,4987
202408,11083,6384,148,5198
202409,10846,6096,273,6102
202410,7881,3404,77,3171
202411,9350,5367,108,3262
202412,1977,3740,132,5215
202501,26044,10857,2311,7401
202502,12391,7291,1322,3607
202503,11854,8263,1709,4859
202504,7747,5961,1779,3262
202505,10855,6538,4416,4174
202506,7059,4263,2847,2856
202507,10193,6549,4315,3673
