"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Other"
200003,2838,73696,0,0,12
200006,3333,80767,0,0,12
200009,3784,84089,0,0,0
200012,3510,85732,0,0,3
200103,3789,81921,0,0,4
200106,4030,90419,0,0,5
200109,4375,101053,0,0,4
200112,3882,102717,0,0,4
200203,3941,101367,0,0,6
200206,4198,106542,0,0,0
200209,4534,110157,0,0,4
200212,4809,97054,0,0,3
200303,4452,99884,0,0,3
200306,4564,97253,0,0,2
200309,5668,106598,0,0,2
200312,4497,92074,0,0,2
200403,5355,94987,0,0,1
200406,5862,111566,0,0,9
200409,6693,121700,0,0,3
200412,6597,112385,1,0,25
200503,5996,116435,0,0,33
200506,7264,124934,0,0,146
200509,7448,135627,0,0,123
200512,7164,136065,0,0,116
200603,7422,106511,0,0,4
200606,6570,113061,0,0,1
200609,5894,116972,0,0,31
200612,6043,96310,0,0,0
200703,5628,94234,0,0,1
200706,6108,103484,0,0,2
200709,7286,124846,0,0,1
200712,6693,116149,0,0,1
200803,6611,120172,0,0,35
200806,7205,138201,0,0,2
200809,7721,141473,0,0,0
200812,7923,106249,0,0,1
200903,6731,110451,1,0,0
200906,7426,119419,0,0,1
200909,8171,135640,0,1,3
200912,9205,125399,1,0,0
201003,9639,135231,0,0,1
201006,10300,139311,1,0,1
201009,10249,137458,0,0,1
201012,12446,134349,1,0,1
201103,12331,145364,5,0,0
201106,11196,124623,5,0,1
201109,11511,138469,32,0,1
201112,13332,132094,339,6,0
201203,11418,124005,1724,11,1
201206,14765,140769,3247,0,0
201209,14486,135783,4086,14,1
201212,15282,143684,3689,0,1
201303,13750,140174,3072,1,2
201306,14024,134806,2886,0,0
201309,15139,152009,3980,2,1
201312,15069,140896,4871,14,0
201403,13534,140483,3249,3,2
201406,13787,152731,1746,0,2
201409,14672,142251,283,11,0
201412,15353,152424,13,13,0
201503,14587,153160,565,16,2
201506,11936,135405,2398,17,1
201509,13801,144780,1728,8,0
201512,16292,157084,2302,14,2
201603,10687,119978,740,13,0
201606,11421,128065,815,7,0
201609,12153,125748,787,5,0
201612,12386,141205,826,16,0
201703,10209,126666,1212,9,0
201706,10624,127546,871,13,0
201709,10167,123878,1508,2,0
201712,12180,128878,2821,1,1
201803,10843,120164,1928,4,0
201806,11083,136929,2286,2,0
201809,16250,143204,2325,2,2
201812,10139,123720,293,2,0
201903,9602,127872,1163,5,0
201906,9358,138615,1536,0,2
201909,9555,133470,1509,30,3
201912,10337,143586,1749,9,4
202003,7692,100323,800,13,1
202006,4956,63441,375,4,0
202009,11557,159305,421,13,3
202012,11576,170999,328,41,0
202103,11353,129466,636,44,0
202106,7538,99918,707,57,0
202109,7634,62253,458,111,0
202112,15217,173457,926,45,0
202203,14772,140440,1953,167,0
202206,14768,152695,3465,536,0
202209,15524,162842,4403,827,0
202212,15508,178808,5550,1592,1
202303,15962,168573,5428,1768,0
202306,14271,151994,4192,2636,0
202309,14453,183206,4786,2977,0
202312,15837,199105,7804,5906,0
202403,13111,180296,6191,4685,0
202406,11872,167041,5523,5941,0
202409,11737,184050,5729,5146,0
202412,14369,196272,7066,5891,0
202503,8918,168036,7119,6382,0
202506,10976,161934,7024,9523,0
202509,12560,178497,7763,9168,1
202512,4306,67021,2787,4152,0
