"YYYYMM","Internal combustion","Plugin hybrid","Battery electric"
2012,12865734,0,0
2013,15571670,97,8221
2014,17811789,13289,31332
2015,19350143,63556,113178
2016,22969510,72115,167572
2017,23222563,101528,456097
2018,21406072,234378,717414
2019,19708674,203643,776822
2020,18181000,201000,910000
2021,17169000,545000,2442000
2022,14870000,1421000,4258000
2023,13964292,2595850,5156439
2024,11989743,4566882,6332596
2025,7183832,2933664,4621947
