"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen"
201801,126655,35,6327,1105,17
201802,118603,16,6171,1180,0
201803,157109,50,7558,1753,11
201804,152461,74,6587,1569,51
201805,147739,41,7557,2372,62
201806,144678,179,6935,3885,55
201807,144712,156,6955,2954,29
201808,137446,54,6572,1971,43
201809,119031,56,5623,2994,49
201810,147555,74,9326,3799,127
201811,146972,69,11777,3770,160
201812,146232,1333,10491,1674,103
201901,128633,35,6367,1105,17
201902,108639,84,6521,813,72
201903,87809,125,7896,3852,235
201904,159799,112,8693,3941,363
201905,139826,649,8664,4148,461
201906,131226,529,9327,3271,478
201907,138670,362,8381,3326,352
201908,128380,269,5733,2315,247
201909,114053,129,6761,2102,454
201910,145662,111,8737,2343,608
201911,147820,810,8393,2864,699
201912,158636,1164,11928,1882,288
202001,108635,283,6949,181,81
202002,91556,235,4454,1209,443
202003,156301,536,10543,5870,706
202004,150506,585,12871,2618,795
202005,151538,509,13889,2572,270
202006,183848,751,16034,4759,317
202007,147179,649,13610,2401,700
202008,119419,585,10821,3849,675
202009,138341,3076,14023,6815,461
202010,139001,957,15957,3596,640
202011,143010,1732,22608,3513,365
202012,138289,3337,19692,2329,333
202101,119700,1654,15883,313,142
202102,104975,1597,14047,2130,568
202103,141024,2036,18354,8992,934
202104,135828,1811,17879,4314,1265
202105,124716,2043,14961,9223,756
202106,130865,2161,18468,13514,751
202107,117876,1409,20600,7322,490
202108,98253,1076,19307,11205,556
202109,83504,2204,16803,10482,939
202110,91159,1850,20413,10934,940
202111,109946,820,21582,10602,865
202112,123037,1040,22658,6711,296
202201,93720,948,14782,1525,319
202202,91979,1257,18699,10345,650
202203,99864,1936,22747,13656,445
202204,103543,1185,24677,12468,1294
202205,104461,891,24450,14392,1270
202206,106609,970,25443,12173,907
202207,105558,902,21552,14708,573
202208,96411,979,18830,14438,980
202209,98657,841,19176,20485,1083
202210,104751,954,18873,18684,1101
202211,113338,1213,24892,15403,1096
202212,129731,1038,26823,5942,446
202301,115030,423,21290,642,307
202302,102411,606,25306,17824,884
202303,114134,924,32699,17400,694
202304,104440,962,29306,14339,327
202305,104915,1311,32010,13544,410
202306,110818,1505,35318,14753,305
202307,93927,990,27953,12848,371
202308,91186,900,28735,9553,293
202309,90987,955,27927,13606,287
202310,92452,527,32763,15419,189
202311,102460,816,41139,15829,232
202312,91311,877,39865,11117,79
202401,78315,588,35650,1597,2
202402,75560,545,35714,3583,343
202403,84522,585,40402,20225,285
202404,89431,565,39920,10901,293
202405,88421,630,38506,13376,380
202406,84519,497,37385,15053,437
202407,81818,870,34211,15097,400
202408,76833,702,34922,15395,347
202409,71702,846,45773,12096,268
202410,82726,872,49257,12717,184
202411,80750,1243,50021,15716,111
202412,81599,1231,53815,5732,48
202501,67088,1092,36055,1663,30
202502,72560,1204,44615,14179,296
202503,79766,1302,49617,18431,401
202504,80980,1329,51862,16239,212
202505,68717,1360,50254,21416,118
202506,73128,1000,51239,20314,161
202507,61864,1178,48848,25568,1045
