"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2016,20014,226117,4282,435,718,10
2017,21098,242831,6313,772,2664,4
2018,18953,220918,9912,1285,4244,9
2019,17483,201056,18834,1734,5280,12
2020,12703,150534,24972,1532,3900,7
2021,15862,166057,38775,3600,9453,5
2022,14497,131541,52318,9247,19461,11
2023,9982,88722,88861,11941,25861,6
2024,8582,89002,75695,4512,7412,22
2025,9540,78860,80417,5592,8638,1
2026,2713,24125,26604,3487,5893,1
