"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
2018,395838,806570,50525,25603,9562
2019,615705,1524364,98237,34984,37850
2020,322725,1023168,110087,66879,108205
2021,234526,960128,147246,114554,190727
2022,155304,902174,187948,101413,267204
2023,142434,1066211,238411,141311,314687
2024,123104,1018085,262441,167178,381970
2025,66740,571111,165328,124528,254666
