"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
200901,74917,112286,245,0,0,0,1937
200902,85681,189592,420,0,0,0,2047
200903,113392,284868,519,0,5,0,2181
200904,106229,270832,689,0,1,0,1875
200905,104372,277869,470,0,69,0,1798
200906,124826,299368,688,0,1,0,2228
200907,99577,237973,873,0,4,0,1549
200908,78514,194433,893,0,8,0,1371
200909,97193,216299,1051,0,28,0,1595
200910,101917,216863,804,0,13,0,1523
200911,98029,179152,923,0,22,0,1599
200912,83986,129232,799,0,11,0,1536
201001,70201,109206,662,0,17,0,1103
201002,78899,114139,760,0,12,0,1036
201003,117036,175174,738,0,27,0,1400
201004,104775,152597,827,0,33,0,1182
201005,101889,145823,787,0,35,0,1174
201006,119110,167651,952,0,47,0,1499
201007,103091,132456,770,0,53,0,1058
201008,78973,120137,737,0,43,0,995
201009,107487,149635,1527,0,73,0,1026
201010,114295,140558,898,0,68,0,956
201011,120510,139553,1164,0,84,0,951
201012,105672,122998,839,0,49,0,813
201101,101266,108380,766,0,105,0,539
201102,103926,118742,891,0,247,0,620
201103,142847,182470,1568,0,230,0,806
201104,124307,139918,1036,0,274,0,716
201105,143615,158831,890,0,240,0,967
201106,132650,153725,718,0,179,0,1110
201107,126876,131911,1006,0,134,0,980
201108,111123,124114,1182,0,215,0,927
201109,128719,149571,1157,0,162,0,1080
201110,124154,132049,877,0,125,0,1048
201111,135194,131175,1267,0,83,0,1425
201112,121289,120751,1264,0,160,0,1037
201201,107763,100433,857,0,209,0,933
201202,108783,113515,992,0,175,0,853
201203,153758,181578,2171,0,310,0,1306
201204,131736,139674,1238,0,248,0,1170
201205,141272,145632,1463,0,219,0,1391
201206,139976,152032,2511,0,258,0,1945
201207,121594,121898,2141,0,178,0,2049
201208,107830,114738,1997,0,247,0,1643
201209,119444,126756,2401,0,179,0,1302
201210,126341,128903,2358,0,364,0,1563
201211,127436,128871,1880,0,308,0,1351
201212,100186,101211,1429,0,261,0,1244
201301,96481,92531,1768,0,362,0,948
201302,97209,100045,1916,0,479,0,1034
201303,130271,147036,2348,0,191,0,1338
201304,131547,148974,2065,0,476,0,1382
201305,124892,132584,2140,0,392,0,1308
201306,130748,148100,2184,0,489,0,1392
201307,119045,130018,2195,0,515,0,1373
201308,99733,110642,2210,0,435,0,1024
201309,117120,126072,2396,0,532,0,1079
201310,128542,131766,2905,0,978,0,1250
201311,124151,126426,2159,0,757,0,1158
201312,103374,108590,2062,0,445,0,849
201401,103272,99374,1740,140,541,0,929
201402,101459,104679,1748,125,481,0,857
201403,137719,153944,2355,156,823,0,1411
201404,131454,138531,2007,302,599,0,1204
201405,134618,135206,2152,535,934,0,1359
201406,130083,142874,2238,317,810,0,1292
201407,132323,133713,1736,460,597,0,1420
201408,98228,110735,1769,620,515,0,1225
201409,118444,137480,1874,398,747,0,1119
201410,130677,140123,1962,402,841,0,1315
201411,122674,123256,1759,514,630,0,1249
201412,111614,113811,1568,558,1004,0,1145
201501,106916,100816,1300,593,659,0,1053
201502,108515,111302,1375,686,436,0,940
201503,151393,166064,2265,886,1278,0,1153
201504,140505,146309,1885,1006,684,0,1006
201505,122558,129260,2019,1054,574,0,920
201506,148721,159779,2190,754,1032,0,1063
201507,141838,143678,1915,944,962,0,859
201508,105348,117304,1558,570,831,0,703
201509,127620,140384,1902,1038,929,0,606
201510,132844,140216,1961,1031,1686,0,634
201511,135299,131361,2402,1283,1372,0,660
201512,116894,124916,1757,1256,1920,0,612
201601,106369,108278,1838,976,477,0,427
201602,118113,127238,2293,1237,751,0,514
