"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2017,600293,13515.000000,8729,6653.000000,16979
2018,526155.000000,12751.000000,13815,19898,35269.000000
2019,436857,19174,13515,28007.000000,42000.000000
2020,274279,11725.000000,8558.000000,25487.000000,34112
2021,270335,17347,8187,28054.000000,36243
2022,208698.000000,15632,3907.000000,40552,44476
2023,197707.000000,22749,3306.000000,34876,38198
2024,148855,18961.000000,4404.000000,23805.000000,28225
