"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201806,98285.877000,16526.500000,5267.172000,70.675000
201812,75176.516000,14534.272000,2165.271000,222.097000
201906,84703.776000,27203.394000,3223.009000,277.553000
201912,69915.689000,32577.397000,8808.137000,1742.496000
202006,58592.890000,5904.761000,682.103000,971.217000
202012,74536.034000,30884.169000,5847.024000,754.738000
202106,85141.307000,18488.846000,4447.227000,5783.514000
202112,59011.973000,25102.305000,6290.178000,8314.736000
202206,73449.611000,17270.648000,6810.278000,9287.142000
202212,73092.285000,16617.797000,11241.953000,31368.722000
202306,109998,25854,9650,28834
202312,50677,20118,5507,19385
202406,83412,27599,4898,39236
202412,54237,31560,1146,27935
202506,75950,43173,14384,26159
202512,28803,18686,11539,23343
