"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Ethanol/Petrol","Plugin hybrid","Battery electric"
201203,41644,72360,0,658270,0,32
201206,42872,72173,0,744423,0,39
201209,54616,71699,0,908066,0,10
201212,58145,57683,0,852115,0,36
201303,48853,41455,0,698081,0,120
201306,56404,47134,0,817382,0,91
201309,57476,47604,0,826506,0,133
201312,58449,52916,0,827145,0,147
201403,47194,45099,0,682859,0,219
201406,52259,45749,0,711340,0,199
201409,52035,45589,0,724731,0,211
201412,55791,48404,0,821578,0,226
201503,39551,35853,0,574273,0,189
201506,38418,35971,0,547526,0,219
201509,36538,33647,0,542212,0,256
201512,35009,30679,0,530009,0,182
201603,34166,22144,0,408989,0,182
201606,39282,18429,0,428804,0,269
201609,40086,19729,0,448362,0,186
201612,42728,20193,0,464593,0,454
201703,36324,14885,0,408809,0,562
201706,42304,16837,0,472748,0,622
201709,46070,18420,0,517217,0,1279
201712,51867,18760,0,528447,0,833
201803,45392,18230,0,463729,0,893
201806,54601,21986,0,523260,0,1051
201809,59826,20592,0,572577,0,810
201812,61441,21127,0,608607,0,1216
201903,52109,17635,0,510719,0,993
201906,63043,18453,0,587458,0,1363
201909,67126,18976,0,599204,0,3091
201912,68944,18789,0,631269,0,6411
202003,53937,14017,0,461140,0,5191
202006,31421,9030,0,188135,0,2377
202009,57849,18170,0,454668,0,5724
202012,67947,17713,0,561056,0,6453
202103,54418,11553,4216,427965,0,366
202106,62565,14833,8944,422672,0,373
202109,77533,14934,9570,360648,0,684
202112,69669,12267,9400,413063,0,1437
202203,49720,11318,8592,304573,0,1291
202206,60143,13285,8476,393626,0,2103
202209,58930,12508,10976,459219,0,2794
202212,60320,11693,12778,475864,0,2252
202303,48516,10832,7942,362813,4861,1976
202306,52390,13621,9767,414298,5886,1786
202309,52996,14759,12281,507130,9048,3940
202312,61987,21357,12450,525623,12396,11575
202403,48193,21562,11636,378158,10321,14118
202406,56397,23731,14005,471036,12138,17051
202409,66076,25540,13006,538926,15784,14489
202412,69792,31555,17546,579233,21366,15877
202503,57075,25271,18437,385488,19216,12980
202506,62992,25720,22432,462028,23533,17528
202509,0,0,0,0,0,0
202512,0,0,0,0,0,0
