"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Other"
200006,6171,154463,0,0,24
200012,7294,169821,0,0,3
200106,7819,172340,0,0,9
200112,8257,203770,0,0,8
200206,8139,207909,0,0,6
200212,9343,207211,0,0,7
200306,9016,197137,0,0,5
200312,10165,198672,0,0,4
200406,11217,206553,0,0,10
200412,13290,234085,1,0,28
200506,13260,241369,0,0,179
200512,14612,271692,0,0,239
200606,13992,219572,0,0,5
200612,11937,213282,0,0,31
200706,11736,197718,0,0,3
200712,13979,240995,0,0,2
200806,13816,258373,0,0,37
200812,15644,247722,0,0,1
200906,14157,229870,1,0,1
200912,17376,261039,1,1,3
201006,19939,274542,1,0,2
201012,22695,271807,1,0,2
201106,23527,269987,10,0,1
201112,24843,270563,371,6,1
201206,26183,264774,4971,11,1
201212,29768,279467,7775,14,2
201306,27774,274980,5958,1,2
201312,30208,292905,8851,16,1
201406,27321,293214,4995,3,4
201412,30025,294675,296,24,0
201506,26523,288565,2963,33,3
201512,30093,301864,4030,22,2
201606,22108,248043,1555,20,0
201612,24539,266953,1613,21,0
201706,20833,254212,2083,22,0
201712,22347,252756,4329,3,1
201806,21926,257093,4214,6,0
201812,26389,266924,2618,4,2
201906,18960,266487,2699,5,2
201912,19892,277056,3258,39,7
202006,12648,163764,1175,17,1
202012,23133,330304,749,54,3
202106,18891,229384,1343,101,0
202112,22851,235710,1384,156,0
202206,29540,293135,5418,703,0
202212,31032,341650,9953,2419,1
202306,30233,320567,9620,4404,0
202312,30290,382311,12590,8883,0
202406,24983,347337,11714,10626,0
202412,26106,380322,12795,11037,0
202506,19894,329970,14143,15905,0
202512,8508,128416,5370,5838,1
