"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
201706,9571.493000,57,87,65.776000
201712,16031.810000,109,74,95.101000
201806,13041.235065,118,0,152.511483
201812,21982.612479,1,0,869.278989
201906,9840.405000,7,0,839.376000
201912,14612.229000,25,5,1389.591000
202006,4727.570000,2,26,683.574000
202012,6679.655000,8,0,810.802000
202106,10165.191000,73,24,1551
202112,12345.469000,60.456000,10,2997.199000
202206,8023.650000,108.304000,10,1890.918000
202212,2149.357000,9,0,2938.210000
202306,3053.070000,18,0,3708.964000
202312,4953.495000,17,0,7423.848000
202406,3777.060000,8,0,9939.866000
202412,5133.913000,25.954000,0,10575.744000
