"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
196003,18,329,0,0,0
196006,15,409,0,0,0
196009,15,301,0,0,0
196012,14,405,0,0,0
196103,29,764,0,0,0
196106,15,956,0,0,0
196109,10,540,0,0,0
196112,13,364,0,0,0
196203,32,913,0,0,0
196206,13,1064,0,0,0
196209,17,611,0,0,0
196212,17,413,0,0,0
196303,48,1194,0,0,0
196306,26,1339,0,0,0
196309,19,773,0,0,0
196312,19,579,0,0,0
196403,40,1877,0,0,0
196406,24,1728,0,0,0
196409,19,1120,0,0,0
196412,21,1108,0,0,0
196503,56,2601,0,0,0
196506,12,2317,0,0,0
196509,22,1528,0,0,0
196512,26,1258,0,0,0
196603,72,4040,0,0,0
196606,29,3007,0,0,0
196609,24,2162,0,0,0
196612,34,1750,0,0,0
196703,92,5897,0,0,0
196706,40,4462,0,0,0
196709,48,3022,0,0,0
196712,41,2946,0,0,0
196803,140,7587,0,0,0
196806,74,5528,0,0,0
196809,66,3798,0,0,0
196812,62,3665,0,0,0
196903,356,13554,0,0,0
196906,137,8270,0,0,0
196909,128,6571,0,0,0
196912,112,8827,0,0,0
197003,354,9473,0,0,0
197006,125,6563,0,0,0
197009,94,5992,0,0,0
197012,143,6489,0,0,0
197103,503,16302,0,0,0
197106,166,10510,0,0,0
197109,180,8513,0,0,0
197112,128,6343,0,0,0
197203,446,18354,0,0,0
197206,202,10144,0,0,0
197209,190,9209,0,0,0
197212,193,8241,0,0,0
197303,778,22857,0,0,0
197306,242,12551,0,0,0
197309,238,10940,0,0,0
197312,261,8751,0,0,0
197403,846,23887,0,0,0
197406,436,13948,0,0,0
197409,373,12639,0,0,1
197412,374,10962,0,0,0
197503,1075,27576,0,0,0
197506,486,18719,0,0,0
197509,351,16435,0,0,0
197512,419,17298,0,0,0
197603,811,36403,0,0,0
197606,480,26691,0,0,0
197609,389,24331,0,0,0
197612,417,22221,0,0,0
197703,797,42329,0,0,0
197706,547,36112,0,0,0
197709,482,28329,0,0,0
197712,511,28388,0,0,0
197803,845,24727,0,0,0
197806,549,20198,0,0,0
197809,461,15426,0,0,0
197812,700,15350,0,0,0
197903,842,21497,0,0,0
197906,1194,24674,0,0,0
197909,1329,20324,0,0,0
197912,1445,22147,0,0,0
198003,1412,22865,0,0,0
198006,1215,24643,0,0,0
198009,1236,22362,0,0,0
198012,1509,21786,0,0,0
198103,2176,25030,0,0,0
198106,2450,26530,0,0,0
198109,2209,23820,0,0,0
198112,2092,23692,0,0,0
198203,2167,28024,0,0,0
198206,2012,29369,0,0,0
198209,2282,28242,0,0,0
198212,1978,25441,0,0,0
198303,2334,29241,0,0,0
198306,1980,28553,0,0,0
198309,1620,25705,0,0,0
198312,1590,24540,0,0,0
198403,1598,25849,0,0,1
198406,1402,28706,0,0,0
198409,1080,26018,0,0,0
198412,1398,28237,0,0,0
198503,1564,36154,0,0,0
198506,1499,42437,0,0,0
198509,1701,40948,0,0,1
198512,2270,46045,0,0,0
198603,1874,47957,0,0,1
198606,1265,55698,0,0,0
198609,1065,34334,0,0,0
198612,1496,31756,0,0,0
198703,842,31460,0,0,0
198706,998,33004,0,0,0
198709,1011,26561,0,0,0
198712,1045,25822,0,0,0
198803,1014,22204,0,0,0
198806,722,18553,0,0,0
198809,662,15622,0,0,0
198812,534,13192,0,0,0
198903,526,12315,0,0,0
198906,651,15389,0,0,0
198909,750,13662,0,0,0
198912,829,14532,0,0,0
199003,954,16030,0,0,1
199006,1190,16911,0,0,1
199009,1223,14674,0,0,0
199012,1268,14299,0,0,0
199103,1287,12592,0,0,0
199106,1670,14066,0,0,0
199109,1617,12328,0,0,0
199112,1811,12404,0,0,0
199203,1990,14514,0,0,3
199206,2205,14988,0,0,12
199209,2582,13472,0,0,15
199212,3375,13255,0,0,12
199303,3415,12944,0,0,4
199306,2809,13176,0,0,1
199309,3370,14907,0,0,3
199312,3470,15076,0,0,5
199403,3678,18039,0,0,16
199406,3263,22180,0,0,0
199409,3028,20413,0,0,0
199412,3154,20242,0,0,4
199503,3437,22419,0,0,0
199506,3201,24109,0,0,0
199509,2621,23711,0,0,6
199512,2722,19856,0,0,1
199603,3629,31355,0,0,12
199606,4191,31224,0,0,12
199609,3944,28934,0,0,0
199612,4154,28620,0,0,24
199703,3621,28440,0,0,2
199706,3591,34373,0,0,6
199709,3537,30144,0,0,3
199712,3824,30352,0,0,14
199803,3374,26487,0,0,4
199806,3583,33552,0,0,31
199809,3549,29892,0,0,4
199812,3556,23001,0,0,1
199903,3490,23866,0,0,31
199906,3355,24411,0,0,4
199909,3836,24242,0,0,23
199912,3964,23038,0,0,26
200003,4291,25202,0,0,58
200006,3812,24682,0,0,45
200009,3311,22630,0,0,67
200012,4013,19952,0,0,20
200103,5380,22172,0,0,16
200106,4220,22037,0,0,18
200109,4197,21595,0,0,79
200112,4625,18893,0,0,28
200203,4333,18609,0,0,95
200206,5008,20664,0,0,29
200209,4858,19741,0,0,44
200212,5367,16518,0,0,21
200303,5736,16373,0,0,5
200306,6563,18320,0,0,10
200309,6691,18498,0,0,11
200312,7685,17968,0,0,5
200403,8739,21290,0,0,6
200406,9632,21022,0,0,17
200409,9410,20092,0,0,7
200412,12278,22834,0,0,2
200503,9882,17103,0,0,3
200506,13377,18900,0,0,1
200509,13173,16429,0,0,1
200512,15910,14525,0,0,0
200603,14439,12640,0,0,0
200606,16812,14366,0,0,2
200609,16476,13769,0,0,0
200612,16713,15593,0,0,11
200703,27045,8448,0,0,2
200706,25364,8975,1,0,1
200709,26270,7985,0,0,2
200712,26151,7605,0,0,0
200803,23633,7799,0,0,4
200806,25440,8301,0,0,5
200809,19670,7656,2,0,81
200812,17781,6394,0,0,75
200903,14093,5801,0,0,55
200906,17415,6259,1,0,19
200909,20076,7686,0,0,17
200912,23895,6873,1,0,19
201003,23152,7905,28,0,39
201006,24932,8173,56,0,95
201009,25892,8150,42,0,112
201012,26180,7112,19,0,92
201103,25659,8412,307,0,452
201106,28336,7346,401,0,344
201109,27167,7522,464,0,357
201112,28413,6807,279,0,726
201203,25091,9332,489,0,848
201206,24730,9843,715,3,792
201209,22598,10516,1470,86,1193
201212,20580,10772,1845,224,926
201303,19186,12083,2186,131,984
201306,21348,13824,2077,42,1166
201309,18826,12482,2468,91,1936
201312,18985,11521,2433,75,3494
201403,17766,10887,2425,478,5107
201406,18792,11390,2355,402,3909
201409,16926,10773,2485,445,4289
201412,18759,10744,2692,356,4244
201503,15282,9316,2711,906,7082
201506,17360,10983,2700,2465,6351
201509,15353,12100,2732,1770,5977
201512,15787,11567,2571,2827,6003
201603,12811,9940,3676,4495,6362
201606,13622,12712,4328,5826,5257
201609,11683,10855,5021,5543,5711
201612,12338,10630,4421,4773,6682
201703,10037,9636,5413,6487,6923
201706,12064,10250,5180,5889,7769
201709,9185,9214,5097,7421,8363
201712,8778,9697,4824,9369,9731
201803,6913,7622,3639,6450,9652
201806,9075,10738,5212,9144,10402
201809,7540,7821,4223,5012,11225
201812,6737,5918,3575,5911,14702
201903,5787,5883,3864,4737,18557
201906,7906,6861,5893,4022,16488
201909,6322,4983,4631,3284,14254
201912,5843,3372,4806,7227,10843
202003,3626,2382,4098,6218,16315
202006,4642,2351,3474,5845,12120
202009,4089,2380,3842,7292,19651
202012,2497,1272,4484,9548,28598
202103,2449,960,3659,10634,19137
202106,3279,1038,5059,10680,28884
202109,2121,1017,2951,7273,32452
202112,1608,713,2662,9578,33156
202203,1318,442,1870,2338,26776
202206,2021,634,2993,4023,27342
202209,1662,528,2924,3953,25731
202212,1909,662,5099,5777,58323
202303,949,187,2065,1539,24230
202306,1625,294,2533,3150,31041
202309,1083,174,1777,1954,24392
202312,912,155,2154,3530,24913
202403,719,75,1180,451,20072
202406,1757,122,4197,1655,31936
202409,916,71,674,461,28913
202412,981,69,1668,926,33461
202503,543,149,875,1441,28623
202506,481,135,818,360,42125
202509,86,25,60,101,9291
