"YYYYMM","ICE","Mild hybrid","Non-plugin hybrid","Plug-in hybrid","Battery electric"
201801,35250,0,68,3,1
201802,29361,0,59,2,5
201803,33224,0,98,2,31
201804,35380,0,76,2,12
201805,35266,0,55,2,5
201806,33141,0,72,3,12
201807,31198,0,59,7,21
201808,38606,0,106,6,11
201809,39163,0,77,16,7
201810,37035,0,82,11,4
201811,33442,0,54,7,15
201812,34909,0,60,7,5
201901,36471,0,50,5,17
201902,27844,0,49,8,11
201903,30116,0,67,5,11
201904,32571,0,104,5,36
201905,31097,0,88,8,11
201906,28369,0,60,8,9
201907,31384,0,70,3,17
201908,32924,0,100,15,20
201909,37790,0,79,17,39
201910,27964,12,52,3,7
201911,24151,13,75,0,33
201912,31007,13,56,8,6
202001,32026,4,57,6,11
202002,24941,1,74,3,9
202003,18971,0,48,6,31
202004,8884,0,16,3,3
202005,8666,3,10,2,0
202006,8955,0,12,2,2
202007,11431,4,19,2,8
202008,18981,2,43,7,4
202009,31803,17,61,9,7
202010,36074,15,131,18,5
202011,29278,19,144,9,36
202012,27813,15,81,12,41
202101,24872,23,71,8,10
202102,24348,24,91,5,23
202103,32346.000000,40,98,2,25
202104,27088,30,76,4,43
202105,33959,48,94,13,16
202106,35126,43,205,45,80
202107,37891,40,228,20,47
202108,37159,18,308,41,38
202109,42241,134,169,29,54
202110,38181,132,146,42,50
202111,38632,94,109,61,85
202112,40390,70,201,30,85
202201,37015,89,93,31,53
202202,31302,171,113,72,87
202203,40943,203,226,52,43
202204,37322,230,173,37,105
202205,37128,274,291,39,155
202206,35519,299,235,43,110
202207,37819,217,69,9,192
202208,34558,171,176,39,74
202209,36148,175,278,34,83
202210,27797,393,238,37,177
202211,30999,190,401,31,87
202212,33323,171,259,50,129
202301,27114,154,197,16,136
202302,25636,108,218,20,238
202303,37019,145,258,26,112
202304,19073,113,239,34,63
202305,25031,179,331,24,51
202306,21820,266,377,44,169
202307,22329,301,341,42,38
202308,27179,326,654,74,81
202309,24876,232,279,44,72
202310,23952,379,405,55,262
202311,24477,485,450,57,161
202312,26025,509,293,70,206
202401,24525,124,338,60,70
202402,21775,251,304,35,85
202403,22257,407,433,103,325
202404,24054,419,577,93,347
202405,21973,432,478,81,373
202406,20634,562,733,103,535
202407,23799,366,562,104,256
202408,26467,582,913,117,256
202409,24203,534,518,92,418
202410,25532,859,614,94,530
202411,22973,1004,519,106,501
202412,25073,1400,518,159,811
202501,23826,790,605,145,468
202502,19281,820,580,89,274
202503,21624,1166,685,150,375
202504,23300,1337,728,207,560
202505,21475,1437,727,257,441
202506,21317,1377,796,372,419
202507,23887,1338,1007,192,485
