"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2014,53811,24195,499,50,161,155
2015,717446,390302,7774,660,1168,3181
2016,748859,487027,30286,1514,2067,4811
2017,714745,601466,55686,3346,4127,8621
2018,588354,774592,76053,5808,6485,28159
2019,465290,795440,109412,7912,10788,32593
2020,332625,448445,138672,23819,18564,16217
2021,266162,419322,221659,44110,24738,17259
2022,230292,381649,243452,48790,32240,18099
2023,192043,428243,307626,65197,56352,31448
2024,182869,425554,399560,65404,61894,38661
2025,151570,347089,448365,122802,97931,60362
