"YYYYMM","Diesel","Petrol","Petrol blend","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
200101,10499,33287,5157,1,0,3,301
200102,9156,30807,4825,0,0,1,288
200103,11093,37321,5568,0,0,3,291
200104,9563,30741,4846,0,0,5,207
200105,11209,32636,5292,0,0,1,270
200106,10432,29298,4536,0,0,4,193
200107,10244,29085,4632,0,0,9,197
200108,11012,31015,5015,2,0,11,194
200109,10084,26807,4159,0,0,11,220
200110,10036,26715,4619,0,0,12,224
200111,10460,28192,4919,0,0,16,170
200112,8344,23388,3729,0,0,17,170
200201,11814,34187,5691,0,0,9,258
200202,11017,31964,5484,3,0,5,206
200203,11616,35018,5557,0,0,14,225
200204,11539,32275,5274,0,0,7,208
200205,10943,32209,5382,2,0,16,208
200206,11022,29167,5175,0,0,16,191
200207,13044,29069,5099,1,0,15,207
200208,12349,32424,5352,1,0,16,196
200209,11940,33042,5448,0,0,18,185
200210,12651,34099,6121,0,0,6,196
200211,12205,30556,5452,0,0,12,167
200212,10008,26805,4042,0,0,10,182
200301,14812,36524,6416,0,0,13,223
200302,14591,29970,5614,0,0,21,187
200303,18800,39403,6873,0,0,40,265
200304,13479,32770,5174,2,0,20,205
200305,16336,36121,5897,2,0,29,203
200306,15501,35433,5722,2,0,25,283
200307,15935,38080,6606,2,0,19,228
200308,15383,35332,5841,1,0,28,220
200309,16046,36378,5917,2,0,23,236
200310,17779,39224,7339,2,0,19,198
200311,15050,36350,6306,1,0,14,184
200312,13371,36379,5840,1,0,11,217
200401,19995,48976,8544,1,0,13,284
200402,17928,38757,7411,2,0,4,226
200403,20838,48512,8678,2,0,19,231
200404,19880,47108,8326,2,0,29,341
200405,18485,40029,7068,0,0,16,250
200406,20372,41581,7429,2,0,13,271
200407,22039,44904,8021,3,0,15,327
200408,18307,39534,6742,0,0,7,286
200409,20452,42654,8039,3,0,20,318
200410,19243,41787,8116,2,0,21,291
200411,20581,48555,9529,3,0,24,334
200412,18949,48426,8729,0,0,21,331
200501,22027,47716,9110,2,0,11,314
200502,21277,41769,8437,5,0,10,329
200503,24350,49931,9554,1,0,12,366
200504,20726,44640,8453,4,0,8,335
200505,22380,45068,9013,0,0,22,340
200506,21927,43281,8271,1,0,6,289
200507,20669,45687,8893,2,0,21,302
200508,20106,47027,8867,5,0,17,325
200509,21320,48822,8730,1,0,15,337
200510,22873,54027,11242,1,0,16,327
200511,20249,46762,8927,1,0,17,290
200512,20236,48952,8582,1,0,13,290
200601,28857,58910,11939,1,0,10,437
200602,25835,48078,10090,1,0,15,337
200603,31496,61551,12810,1,0,14,381
200604,23564,50589,9730,4,0,14,341
200605,25988,54516,10622,1,0,11,407
200606,26297,57522,11385,2,0,28,420
200607,24780,52449,10041,4,0,20,396
200608,24789,54113,10909,2,0,37,402
200609,24749,53661,11450,1,0,30,508
200610,25585,57166,14282,1,0,13,555
200611,27324,59605,13958,1,0,18,554
200612,22235,52974,11069,2,0,8,520
200701,30914,70598,17911,3,0,10,586
200702,31584,59093,15315,0,0,21,559
200703,37195,68941,15855,3,0,23,688
200704,29792,55845,13246,2,0,8,548
200705,33942,60611,14598,2,0,11,653
200706,30306,56961,13040,2,0,9,501
200707,32616,59720,14378,2,0,38,432
200708,32848,64575,14863,2,0,25,450
200709,31109,61015,14841,3,0,25,387
200710,32240,63521,16046,1,0,27,497
200711,35606,74314,18617,3,0,30,501
200712,28451,58439,12682,1,0,35,372
200801,40899,81889,19059,0,0,32,505
200802,38606,61928,13898,0,0,77,289
200803,41370,62607,13954,2,0,19,382
200804,44379,68374,14315,2,0,22,278
200805,46908,74773,15195,2,0,24,328
200806,39427,58557,13082,3,0,42,344
200807,41055,60586,14642,1,0,80,419
200808,35092,52828,13206,0,0,52,327
200809,35998,58496,12440,1,0,45,319
200810,38467,63215,16414,1,0,38,443
200811,37767,60760,14456,2,0,37,298
200812,30453,54205,11216,2,0,44,281
200901,39261,79376,19311,1,0,35,464
200902,37152,65736,16181,3,0,33,341
200903,45241,71172,16534,3,0,36,374
200904,40729,67342,14935,1,0,36,303
200905,43098,66516,15292,3,0,16,283
200906,44732,68703,15224,5,0,17,285
200907,46589,70200,15493,3,0,32,385
200908,43607,71875,15280,0,0,25,294
200909,46477,74433,16058,4,0,34,276
200910,56860,95067,21707,2,0,29,257
200911,47708,78889,17031,3,0,27,300
200912,43262,74825,15312,3,0,18,290
201001,57645,96223,22320,5,0,10,372
201002,56126,86039,19365,2,0,12,305
201003,67639,107476,23761,3,0,23,368
201004,52922,77637,16959,2,0,13,311
201005,61642,91785,19538,1,0,16,350
201006,55505,84508,16735,1,0,37,276
201007,55640,87537,17039,0,0,22,336
201008,57362,92884,17044,3,0,27,354
