"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201406,22788,36129,132,75,19
201412,18565,28271,131,108,18
201506,21102,35652,208,124,4
201512,17727,33663,206,119,14
201606,22071,42709,571,112,15
201612,17392,35359,637,111,23
201706,21068,42075,1013,272,23
201712,14996,37328,1540,230,42
201806,16746,49556,2877,352,81
201812,12190,36123,2055,424,101
201906,12739,43521,2404,995,621
201912,9124,38820,3563,902,1514
202006,7531,31376,5850,1499,1136
202012,6602,31591,7382,2746,705
202106,6544,33496,11979,4135,582
202112,4088,23150,8165,6018,328
202206,3978,24686,8700,5951,190
202212,3068,18671,7471,8580,405
202306,2816,19703,8833,15301,224
202312,2241,14672,9254,14236,229
202406,2269,18408,7817,10572,96
202412,1543,15007,7046,11299,18
202506,1286,11943,6343,10236,1
