"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202201,618,1397,605,73,109,142
202202,585,1399,704,78,50,63
202203,637,1847,996,77,90,165
202204,648,2378,872,57,48,251
202205,766,2151,774,59,91,208
202206,1086,2574,844,55,70,302
202207,1202,2727,718,98,170,213
202208,621,1804,486,77,117,95
202209,817,1634,634,78,219,104
202210,762,1423,603,95,94,46
202211,512,1248,607,93,151,47
202212,515,1071,533,83,162,164
202301,596,1634,720,80,192,138
202302,733,1774,767,79,154,139
202303,1151,3162,1377,97,217,153
202304,1227,3041,1456,110,114,177
202305,1435,3657,1563,70,131,210
202306,1254,4033,1379,102,113,206
202307,1086,2559,1177,85,117,117
202308,676,1492,902,75,149,133
202309,678,1764,936,112,98,146
202310,643,1633,1045,165,68,155
202311,623,1521,889,79,137,139
202312,810,1536,794,65,134,114
202401,903,2045,1216,119,82,127
202402,923,1898,1455,94,50,110
202403,1311,2976,1690,148,62,223
202404,1279,3866,1914,105,35,65
202405,2085,4134,1788,117,265,134
202406,1749,4385,1725,128,298,87
202407,1049,4165,32,1,268,104
202408,545,1470,969,82,204,71
202409,648,1829,1306,105,219,90
202410,735,1753,1537,156,125,127
202411,675,1737,1403,117,60,102
202412,540,1487,1335,94,125,164
202501,576,1977,1556,152,69,142
202502,678,1644,1629,140,53,101
202503,978,2919,2144,153,82,150
202504,1126,4378,3178,188,60,140
202505,1296,4545,2545,238,55,112
202506,1513,4752,2291,205,77,107
202507,771,3204,1837,284,69,143
202508,440,1666,1286,166,70,81
202509,638,1980,1535,274,178,118
