"YYYYMM","Internal combustion","Non-plugin hybrid","Plugin hybrid","Battery electric"
201012,1115903,28592,326,19
201103,2981068,77379,1210,484
201106,3212541,55676,1535,3431
201109,3122967,58427,1150,3326
201112,3175861,77267,3776,2851
201203,3353882,106207,4826,2424
201206,3682774,111643,8337,1954
201209,3509565,104816,10918,2651
201212,3458237,111982,14503,7558
201303,3549651,121111,8222,9591
201306,3971720,136524,10113,13521
201309,3793322,132090,14383,12549
201312,3674235,105810,16290,12433
201403,3616896,101906,11249,10873
201406,4259211,130882,17880,14971
201409,4110708,124081,15017,18159
201412,3965679,95303,11211,19522
201503,3848907,86004,7722,14127
201506,4430844,104966,10787,20069
201509,4397097,105405,10660,17071
201512,4293615,88025,13839,19797
201603,3985500,74094,12365,15115
201606,4429811,87242,17574,20470
201609,4325679,96125,18934,26395
201612,4299473,89488,24012,24751
201703,3906982,82997,19300,21415
201706,4280350,94751,23732,22813
201709,4273005,101219,22794,30073
201712,4214695,91713,25362,30186
201803,3963880,74492,26625,26867
201806,4326446,87467,31819,38023
201809,4096995,90370,30178,59772
201812,4157131,85820,35261,82400
201903,3835111,72809,20694,54867
201906,4217815,116491,21856,61546
201909,4107632,109019,21446,64235
201912,4073297,101125,21795,53174
202003,3323546,83066,14696,55776
202006,2808357,83598,10132,33493
202009,3679747,129222,18376,68467
202012,3897726,159181,25845,80804
202103,3597360,179011,28770,92073
202106,4000758,224868,56059,109256
202109,3025201,202376,42290,119532
202112,2889017,192791,48998,138613
202203,2902522,197951,40746,153799
202206,3059413,201625,47976,179301
202209,2975994,173990,41144,193957
202212,3118605,192846,53545,220925
202303,3039031,220678,54779,246179
202306,3422100,305122,71850,291303
202309,3248323,320310,79498,310708
202312,3159353,329346,87451,316448
202403,3071722,321732,84981,253220
202406,3284672,393484,75378,307317
202409,3064853,412190,67241,343794
202412,3286142,481643,86076,345705
202503,3065751,472806,76401,295818
202506,2287376,382984,59807,198632
