"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201806,58279,283520,2218,8416,1973
201812,38088,230262,2810,16780,1439
201906,33342,273430,3728,17628,1433
201912,24463,250145,3183,45052,1091
202006,15633,212696,6783,15046,1156
202012,14450,236571,11122,60764,2576
202106,11615,240168,19307,18617,1796
202112,10348,211729,21503,52128,2132
202206,8701,195424,26949,37824,1954
202212,6021,180719,25944,50236,1817
202306,5472,202221,41613,65672,1680
202312,5295,172059,41156,61774,2019
202406,5198,193534,56975,66316,1823
202412,4785,175541,60743,79142,1445
202506,4429,170887,77682,70393,1242
202512,4114,163070,81382,97900,1180
202606,718,33456,18783,8239,140
