"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201006,16434,244562,0,0,0,0
201012,16475,264004,0,0,0,0
201106,17272,266291,0,0,2,0
201112,17361,301072,0,0,0,0
201206,33403,338705,0,0,0,0
201212,33628,375049,0,0,0,0
201306,29173,400139,0,0,1,0
201312,29235,421484,0,0,0,0
201406,32271,438934,0,0,0,0
201412,25781,382478,0,0,0,0
201506,23042,358375,0,0,0,0
201512,16727,338653,0,0,0,0
201606,27780,375828,0,0,0,0
201612,24522,388902,0,0,0,0
201706,34101,386385,0,0,0,0
201712,41390,379356,0,0,0,0
201806,36825,387107,0,0,0,0
201812,40276,410464,0,0,0,5
201906,33494,336394,172,0,0,4
201912,34339,378442,159,0,0,14
202006,18389,178998,164,5,22,0
202012,21585,158877,786,1,98,0
202106,31615,256240,1378,0,488,0
202112,31495,334108,1095,0,197,0
202206,41408,312060,1233,10,495,101
202212,31737,382630,3867,0,9832,198
202306,23208,338459,16569,24,5846,117
202312,32738,315144,35865,46,11216,95
202406,25512,253686,24701,39,13429,0
202412,29571,260570,31908,27,28151,1
202506,4903,36471,4203,12,2403,0
