"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Ethanol","Others"
200603,11729,47913,593,0,2,6609,660
200606,15106,68704,806,0,0,7055,1298
200609,14146,52226,794,0,0,5833,701
200612,20222,51159,658,0,0,6621,977
200703,21998,46340,810,0,0,6217,570
200706,26638,57284,950,0,0,9048,569
200709,24412,42568,830,0,1,7493,344
200712,40516,38109,804,0,1,12755,281
200803,22693,29716,986,0,0,13589,237
200806,30816,36612,1226,0,1,16457,258
200809,22003,26646,1025,0,0,13700,315
200812,21653,21541,1009,0,0,15278,583
200903,17888,18752,418,0,10,9444,592
200906,23305,24911,600,0,8,13378,1682
200909,21526,20380,941,0,6,8476,2100
200912,28464,23883,1126,0,5,8867,1766
201003,29617,22089,977,0,2,8045,1855
201006,40844,32463,932,0,2,9904,1940
201009,36580,27063,792,0,1,7462,1754
201012,47241,26613,1019,0,6,10054,1479
201103,44116,24926,862,0,68,3177,1160
201106,55271,31854,830,0,74,4850,1766
201109,45338,25007,623,0,6,3638,1824
201112,50428,24665,612,0,37,3618,1899
201203,47846,20531,389,3,57,1950,1589
201206,52421,25634,543,65,73,1660,1257
201209,42681,20990,902,343,62,1052,1249
201212,52471,23410,1208,247,72,1242,1388
201303,37789,19581,1053,487,98,616,1132
201306,48986,28380,1191,172,74,682,1021
201309,40410,26464,1464,178,75,937,806
201312,48253,28426,1462,272,205,1008,956
201403,43048,25273,1581,500,243,761,1099
201406,53273,32520,1642,1197,229,688,1118
201409,42461,28751,1611,782,508,686,1378
201412,49252,29981,2220,932,286,556,1461
201503,46718,27785,2148,732,536,382,1363
201506,56272,35622,2002,1220,936,375,1369
201509,46559,33164,2057,985,736,333,1290
201512,56851,35005,2562,2815,708,280,1127
201603,46828,33026,3276,1469,697,188,962
201606,58317,43612,3067,3051,704,249,1092
201609,42902,36981,3644,2808,679,225,792
201612,53010,41701,3649,2962,913,194,1016
201703,48075,34410,4573,2780,1067,272,822
201706,55454,43889,4305,3175,1225,258,567
201709,42342,36544,4475,4087,1124,289,1219
201712,45196,42712,5286,5947,943,271,1421
201803,37469,39937,4777,5044,1264,218,878
201806,58091,69408,6896,5881,1007,256,1061
201809,16974,29349,4296,5623,1765,441,1001
201812,24875,35114,5051,5263,3111,105,380
201903,27710,33577,4376,5769,4112,37,404
201906,34467,45361,7176,5114,4324,28,1350
201909,25124,40465,6564,4849,3818,392,1960
201912,35438,52502,7336,9175,3541,710,1282
202003,17455,27089,4508,12893,5714,19,1136
202006,16750,27613,3756,10520,3596,14,539
202009,16959,30977,7113,16948,7105,27,1011
202012,16908,28960,7255,25773,11683,10,865
202103,20783,33324,6579,27459,5202,16,422
202106,14463,27072,7318,19282,17566,322,461
202109,9197,19343,5337,13147,14848,503,405
202112,9291,17731,4903,18312,20265,459,303
202203,9857,17209,6621,17713,19966,600,371
202206,11859,20244,7341,17459,20394,561,302
202209,7525,16663,6689,12314,18590,865,683
202212,7547,13131,6933,19289,37213,682,599
202303,6629,14310,6763,12871,23189,1127,393
202306,7512,18367,6368,16358,29684,1060,580
202309,6101,15546,5773,13822,28912,868,522
202312,6256,16554,7636,18184,30990,1167,565
202403,5553,14808,6290,14151,18693,1477,568
202406,6212,19397,7209,16838,23628,1044,441
202409,5066,14617,5432,13348,23915,612,95
202412,5327,17627,6537,18937,28603,873,40
202503,4926,16197,5571,15985,21085,1698,14
202506,6428,18210,5867,20958,28977,24,12
202509,5088,14568,5550,17691,22672,15,10
202512,1910,5125,2184,7166,8772,33,4
