"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen"
201703,413337,14285,52,1729,14
201706,449128,22108,83,2688,25
201709,415894,22358,134,4364,15
201712,417129,25036,83,4760,68
201803,402367,20056,101,4038,28
201806,444878,21079,294,7826,168
201809,401158,19184,157,8025,121
201812,440759,31594,1476,9243,390
201903,325081,20784,244,5770,324
201906,430851,26684,1290,11360,1302
201909,381103,20875,760,7743,1053
201912,452118,29058,2085,7089,1595
202003,356492,21946,1054,7260,1230
202006,485892,42794,1845,9949,1382
202009,404939,38454,4310,13065,1836
202012,420300,58257,6026,9438,1338
202103,365699,48284,5287,11435,1644
202106,391409,51308,6015,27051,2772
202109,299633,56710,4689,29009,1985
202112,324142,64653,3710,28247,2101
202203,285563,56228,4141,25526,1414
202206,314613,74570,3046,39033,3471
202209,300626,59558,2722,49631,2636
202212,347820,70588,3205,40029,2643
202303,331575,79295,1953,35866,1885
202306,320173,96634,3778,42636,1042
202309,276100,84615,2845,36007,951
202312,286223,113767,2220,42365,500
202403,238397,111766,1718,25405,630
202406,262371,115811,1692,39330,1110
202409,230008,114906,2418,42813,1136
202412,245075,153093,3346,34165,343
202503,219414,130287,3598,34273,727
202506,222825,153355,3689,57969,491
202509,208134,142544,3393,77470,3684
202512,216604,150334,2939,46739,1645
202603,177319,139472,2812,87665,1636
