"YYYYMM","ICE","Hybrid","Battery Electric"
202106,27608,860,84
202112,61361,2778,245
202206,62022,3358,130
202212,70445,3316,246
202306,64875,4980,317
202312,55238,6527,451
202406,49889,6701,614
202412,43873,6387,802
202506,45816,8006,1520
202512,27031,5034,1198
