"YYYYMM","ICE","Hybrid","Battery electric"
202303,59272,0,1689
202306,55661,0,9949
202309,63346,0,8842
202312,93963,0,11600
202403,44483,1426,7254
202406,57977,2022,12091
202409,73832,2209,20655
202412,100783,4209,47000
202503,49427,2562,34600
202506,58242,3364,32466
202509,58278,3859,36328
202512,93364,4386,71224
202603,62695,5125,53685
202606,55366,5740,62301
202609,20101,1636,21787
