"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201306,188456,97890,3417,159,136,425
201312,127058,66397,2467,166,365,244
201406,177869,104461,4082,470,591,968
201412,121876,69087,3429,404,575,381
201506,170438,112000,3956,1331,755,672
201512,130426,77735,2932,1158,601,398
201606,160228,139174,4711,3615,1075,1662
201612,119727,100635,4517,3623,971,990
201706,150340,156766,7249,5917,1483,1430
201712,103519,107670,5121,5938,1224,1601
201806,119959,192877,8642,5991,1699,3187
201812,75391,130004,6664,3506,1972,1357
201906,94279,193397,13389,3259,4610,2260
201912,73548,142434,13624,4693,4260,1729
202006,64990,117629,18393,9358,4929,1776
202012,66020,93573,21442,22161,10068,2285
202106,49451,107304,39548,25961,9109,1798
202112,25506,61381,28041,21556,13598,1378
202206,28190,78748,40433,29896,17225,1641
202212,20154,66988,33693,29030,20477,1303
202306,21835,96537,50349,50653,43673,2280
202312,11471,59261,41845,49324,49770,1319
202406,11525,80350,60798,45131,64474,2080
202412,6219,48048,45754,20930,63387,1480
202506,5699,57704,70600,19130,75280,1926
202512,3368,37822,52982,18741,66948,1184
202606,3387,41223,64375,9462,66085,1493
