"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201803,33527,147534,1159,4175,1093
201806,24752,135986,1059,4241,880
201809,21458,125801,1391,5382,823
201812,16630,104461,1419,11398,616
201903,18367,138130,2211,8799,649
201906,14975,135300,1517,8829,784
201909,12977,127691,1473,12911,518
201912,11486,122454,1710,32141,573
202003,10384,131461,4056,8767,530
202006,5249,81235,2727,6279,626
202009,7923,123352,5232,15548,1231
202012,6527,113219,5890,45216,1345
202103,5975,118909,8938,5268,822
202106,5640,121259,10369,13349,974
202109,5292,111469,10352,15790,962
202112,5056,100260,11151,36338,1170
202203,4764,103229,13682,15897,964
202206,3937,92195,13267,21927,990
202209,3410,87527,12186,20667,724
202212,2611,93192,13758,29569,1093
202303,2639,102595,20545,29571,779
202306,2833,99626,21068,36101,901
202309,2582,87395,20724,30091,891
202312,2713,84664,20432,31683,1128
202403,2581,101082,28184,33004,1001
202406,2617,92452,28791,33312,822
202409,2426,85443,28658,33302,666
202412,2359,90098,32085,45840,779
202503,2202,86848,36522,35042,580
202506,2227,84039,41160,35351,662
202509,2087,81473,41143,32873,488
202512,2027,81597,40239,65027,692
202603,718,33456,18783,8239,140
