"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201003,82,231,5,0,0,6
201006,177,1412,2,0,2,11
201009,185,453,9,0,0,10
201012,240,271,10,0,0,16
201103,211,280,23,0,0,30
201106,904,1553,16,0,0,57
201109,524,437,22,0,0,46
201112,555,392,22,0,0,25
201203,573,457,20,0,0,31
201206,1755,1927,37,0,0,71
201209,782,611,80,5,7,38
201212,955,517,59,4,2,27
201303,710,537,59,9,3,19
201306,1733,1681,53,3,1,13
201309,679,662,46,2,26,5
201312,573,422,29,3,19,12
201403,922,606,52,1,13,15
201406,2230,2513,33,5,17,7
201409,856,842,44,8,32,9
201412,733,556,52,17,26,6
201503,1138,1035,36,22,76,9
201506,2923,3368,70,31,54,46
201509,1410,1147,74,40,78,63
201512,1238,919,69,58,61,100
201603,1897,1398,118,63,39,99
201606,3403,4599,239,131,63,80
201609,1842,1400,224,172,76,109
201612,1126,970,115,235,49,70
201703,2148,1927,229,193,84,111
201706,4026,4280,258,263,115,103
201709,1696,1844,348,485,145,64
201712,1080,1133,216,506,70,40
201803,2036,1733,234,499,101,30
201806,2731,3268,366,638,183,77
201809,1458,1663,205,541,177,47
201812,595,782,99,300,226,5
201903,880,1160,164,307,208,3
201906,1459,2111,388,356,217,27
201909,687,1001,282,266,289,17
201912,489,688,217,279,202,13
202003,451,545,298,371,801,15
202006,364,439,250,382,268,6
202009,712,805,401,481,684,13
202012,300,348,219,627,603,2
202103,333,342,331,542,536,1
202106,600,824,924,898,704,1
202109,365,676,712,886,1118,1
202112,271,111,302,1093,1205,4
202203,349,288,458,787,1334,0
202206,994,959,1413,1670,1072,0
202209,704,502,652,710,1227,0
202212,335,237,462,586,1934,0
202303,448,401,580,463,1600,2
202306,1235,991,1589,638,2321,0
202309,430,313,525,406,1892,1
202312,172,130,195,248,2963,0
202403,307,121,236,303,418,0
202406,1155,1247,1283,744,538,0
202409,231,121,388,377,741,1
202412,588,62,184,219,967,2
202503,185,168,454,458,911,0
202506,610,896,1476,1202,1307,0
202509,139,62,310,245,485,0
