"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2010,32909,508566,0,0,0,0
2011,34633,567363,0,0,2,0
2012,67031,713754,0,0,0,0
2013,58408,821623,0,0,1,0
2014,58052,821412,0,0,0,0
2015,39769,697028,0,0,0,0
2016,52302,764730,0,0,0,0
2017,75491,765741,0,0,0,0
2018,77101,797571,0,0,0,5
2019,67833,714836,331,0,0,18
2020,39974,337875,950,6,120,0
2021,63110,590348,2473,0,685,0
2022,73145,694690,5100,10,10327,299
2023,55946,653603,52434,70,17062,212
2024,50051,470983,51270,68,37451,230
