"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
196006,33,738,0,0,0
196012,29,706,0,0,0
196106,44,1720,0,0,0
196112,23,904,0,0,0
196206,45,1977,0,0,0
196212,34,1024,0,0,0
196306,74,2533,0,0,0
196312,38,1352,0,0,0
196406,64,3605,0,0,0
196412,40,2228,0,0,0
196506,68,4918,0,0,0
196512,48,2786,0,0,0
196606,101,7047,0,0,0
196612,58,3912,0,0,0
196706,132,10359,0,0,0
196712,89,5968,0,0,0
196806,214,13115,0,0,0
196812,128,7463,0,0,0
196906,493,21824,0,0,0
196912,240,15398,0,0,0
197006,479,16036,0,0,0
197012,237,12481,0,0,0
197106,669,26812,0,0,0
197112,308,14856,0,0,0
197206,648,28498,0,0,0
197212,383,17450,0,0,0
197306,1020,35408,0,0,0
197312,499,19691,0,0,0
197406,1282,37835,0,0,0
197412,747,23601,0,0,1
197506,1561,46295,0,0,0
197512,770,33733,0,0,0
197606,1291,63094,0,0,0
197612,806,46552,0,0,0
197706,1344,78441,0,0,0
197712,993,56717,0,0,0
197806,1394,44925,0,0,0
197812,1161,30776,0,0,0
197906,2036,46171,0,0,0
197912,2774,42471,0,0,0
198006,2627,47508,0,0,0
198012,2745,44148,0,0,0
198106,4626,51560,0,0,0
198112,4301,47512,0,0,0
198206,4179,57393,0,0,0
198212,4260,53683,0,0,0
198306,4314,57794,0,0,0
198312,3210,50245,0,0,0
198406,3000,54555,0,0,1
198412,2478,54255,0,0,0
198506,3063,78591,0,0,0
198512,3971,86993,0,0,1
198606,3139,103655,0,0,1
198612,2561,66090,0,0,0
198706,1840,64464,0,0,0
198712,2056,52383,0,0,0
198806,1736,40757,0,0,0
198812,1196,28814,0,0,0
198906,1177,27704,0,0,0
198912,1579,28194,0,0,0
199006,2144,32941,0,0,2
199012,2491,28973,0,0,0
199106,2957,26658,0,0,0
199112,3428,24732,0,0,0
199206,4195,29502,0,0,15
199212,5957,26727,0,0,27
199306,6224,26120,0,0,5
199312,6840,29983,0,0,8
199406,6941,40219,0,0,16
199412,6182,40655,0,0,4
199506,6638,46528,0,0,0
199512,5343,43567,0,0,7
199606,7820,62579,0,0,24
199612,8098,57554,0,0,24
199706,7212,62813,0,0,8
199712,7361,60496,0,0,17
199806,6957,60039,0,0,35
199812,7105,52893,0,0,5
199906,6845,48277,0,0,35
199912,7800,47280,0,0,49
200006,8103,49884,0,0,103
200012,7324,42582,0,0,87
200106,9600,44209,0,0,34
200112,8822,40488,0,0,107
200206,9341,39273,0,0,124
200212,10225,36259,0,0,65
200306,12299,34693,0,0,15
200312,14376,36466,0,0,16
200406,18371,42312,0,0,23
200412,21688,42926,0,0,9
200506,23259,36003,0,0,4
200512,29083,30954,0,0,1
200606,31251,27006,0,0,2
200612,33189,29362,0,0,11
200706,52409,17423,1,0,3
200712,52421,15590,0,0,2
200806,49073,16100,0,0,9
200812,37451,14050,2,0,156
200906,31508,12060,1,0,74
200912,43971,14559,1,0,36
201006,48084,16078,84,0,134
201012,52072,15262,61,0,204
201106,53995,15758,708,0,796
201112,55580,14329,743,0,1083
201206,49821,19175,1204,3,1640
201212,43178,21288,3315,310,2119
201306,40534,25907,4263,173,2150
201312,37811,24003,4901,166,5430
201406,36558,22277,4780,880,9016
201412,35685,21517,5177,801,8533
201506,32642,20299,5411,3371,13433
201512,31140,23667,5303,4597,11980
201606,26433,22652,8004,10321,11619
201612,24021,21485,9442,10316,12393
201706,22101,19886,10593,12376,14692
201712,17963,18911,9921,16790,18094
201806,15988,18360,8851,15594,20054
201812,14277,13739,7798,10923,25927
201906,13693,12744,9757,8759,35045
201912,12165,8355,9437,10511,25097
202006,8268,4733,7572,12063,28435
202012,6586,3652,8326,16840,48249
202106,5728,1998,8718,21314,48021
202112,3729,1730,5613,16851,65608
202206,3339,1076,4863,6361,54118
202212,3571,1190,8023,9730,84054
202306,2574,481,4598,4689,55271
202312,1995,329,3931,5484,49305
202406,2476,197,5377,2106,52008
202412,1897,140,2342,1387,62374
202506,1024,284,1693,1801,70748
202512,447,112,167,510,47709
