"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
202007,298,0,0,1
202008,660,0,7,51
202009,605,0,3,0
202010,2255,0,2,0
202011,1518,0,2,9
202012,1421,1,1,28
202101,824,2,1,14
202102,1346,0,1,52
202103,1459,0,0,0
202104,1850,0,0,5
202105,987,0,0,45
202106,406,0,0,60
202107,1513,0,0,36
202108,1428,0,3,1103
202109,2173,0,0,38
202110,2551,0,1,303
202111,1499,0,1,227
202112,1148,0,0,240
202201,1133,0,3,190
202202,801,0,6,88
202203,1024,0,2,166
202204,706,0,0,116
202205,985,0,2,78
202206,1218,0,9,153
202207,154,0,0,103
202208,131,0,6,1749
202209,360,0,5,203
202210,208,0,0,291
202211,88,0,1,313
202212,140,0,4,335
202301,97,0,7,396
202302,175,0,2,260
202303,365,0,2,189
202304,342,12,2,253
202305,336,0,5,504
202306,422,0,2,915
202307,253,4,2,180
202308,294,0,4,5107
202309,353,0,1,788
202310,939,0,1,1237
202311,229,0,0,652
202312,158,0,3,899
202401,229,3,1,1421
202402,266,1,2,1052
202403,303,0,3,276
202404,362,2,2,658
202405,307,3,3,1404
202406,324,0,6,2969
202407,197,2,1,235
202408,293,4,17,5480
202409,481,1,7,1221
202410,630.500000,0,3,916
202411,360.370000,1,2,969
202412,249.110000,2,1,1210
202501,235.499999,0,8,783
202502,280.090000,2,1,776
202503,272.369999,0,5,833
202504,285.040000,2,8,878
202505,478.660000,0,7,1892
202506,655.860000,0,18,3633
202507,378.080001,7,2,86
202508,616.650000,0,15,5073
202509,846,0,8,326
202510,823,3,1,2134
202511,392,0,5,583
202512,405,0,2,597
202601,407,6,1,1273
202602,490,3,0,823
202603,345.000000,0,0,502
202604,358,0,3,775
202605,322.000000,0,1,1434
202606,156,0,2,2285
