"YYYYMM","Internal combustion","Plugin hybrid","Battery electric"
201803,5560613.636364,,
201806,5411477.732636,52855.452208,157689.939471
201809,5026795.549254,78539.005401,174898.544760
201812,5775484.962072,91196.690375,324165.189125
201903,4831600,53174,188526
201906,4533813,65229,257471
201909,4625589,47576.224299,157223.775701
201912,5653000,46000,219000
202003,2907000,18000,90000
202006,4492000,44000,161000
202009,4930000,55000,232000
202012,5852000,84000,427000
202103,4714000,67000,366000
202106,4253000,103000,473000
202109,3736000,153000,655000
202112,4466000,222000,948000
202203,3851000,231000,841000
202206,3171000,272000,904000
202209,3984000,411000,1219000
202212,3864000,507000,1294000
202303,2953000,423000,895000
202306,3490000,573000,1198000
202309,3605625,691702,1411943
202312,3915667,908148,1651496
202403,3062940,533697,1026806
202406,2673927,684497,1395335
202409,2705399,984822,1716877
202412,3547477,1214505,2193578
202503,2697973,711108,1489815
202506,2734790,887628,1838913
202509,839000,380000,607000
