"YYYYMM","Diesel","Petrol","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
202203,816,2627,2792,0,257,0
202206,760,3719,2682,0,329,0
202209,727,3188,2293,0,384,0
202212,571,1988,1982,0,380,1
202303,788,2830,2564,0,408,0
202306,1061,3132,3260,0,601,0
202309,777,2434,3121,0,482,0
202312,597,2049,2818,0,569,1
202403,713,2089,3111,110,352,46
202406,1032,2525,3843,336,493,120
202409,1015,1916,3473,395,451,129
202412,1589,1414,3703,591,476,179
202503,1481,1481,4598,725,485,163
202506,1521,2596,5868,947,720,202
202509,1320,2136,4673,1291,966,201
