"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201303,215194,111229,2155,118,65,1346
201306,214100,119626,1997,64,123,1471
201309,179416,102242,1669,74,190,1319
201312,173631,93825,1639,131,243,1235
201403,210768,121640,2895,246,339,1466
201406,207089,117983,2287,305,318,1865
201409,179588,103875,2138,177,318,1372
201412,164879,95325,2424,328,382,1212
201503,205630,124763,3008,682,442,1255
201506,206879,125749,2226,849,474,1422
201509,175461,105891,2167,588,436,1158
201512,178839,106984,2129,849,352,1196
201603,186565,133406,3334,1902,686,1597
201606,200327,144892,3115,2152,611,1996
201609,166633,117489,3081,1939,603,1435
201612,162047,115281,3173,2207,649,1426
201703,189919,152583,5208,2772,959,1661
201706,186302,150608,4150,3826,854,1923
201709,155461,124069,3672,3254,775,1684
201712,150001,123008,3577,3993,904,1634
201803,171082,169069,5725,3719,1101,2120
201806,164792,177748,5368,3468,995,2879
201809,139733,147992,4494,2787,936,1808
201812,119872,130881,4797,2237,1524,1320
201903,142176,176076,8007,2502,2495,1555
201906,144850,172856,8391,2241,2739,2453
201909,129744,159532,7845,2430,2486,1861
201912,121161,147235,9482,3866,2567,1655
202003,118239,149191,13139,5921,3357,1752
202006,87253,109313,8601,5143,2385,1473
202009,131774,159794,13814,9447,4961,2219
202012,108878,120607,13268,15942,6465,1833
202103,109675,147281,23230,14651,5085,1711
202106,103655,145690,24351,15823,6155,1830
202109,87134,126928,21015,14204,7696,1595
202112,80605,112361,17219,13815,9465,1557
202203,84092,130735,26414,18757,11987,1855
202206,78231,121015,24868,18684,9959,1555
202209,68814,121272,23428,17108,10909,1494
202212,64865,117502,21399,21579,13916,1531
202303,74546,144093,32394,28196,23551,1903
202306,74790,140751,32543,35913,25537,2213
202309,64872,126198,29444,31689,28563,1396
202312,59443,120425,29451,29081,28462,1666
202403,63663,142308,41970,33399,36240,2081
202406,62881,141058,44089,23446,38373,1834
202409,54039,125742,36172,16554,37839,1489
202412,51428,120618,39058,15491,38980,1767
202503,51387,135461,53414,16014,47687,1787
202506,49409,124618,50899,16362,41999,1901
202509,44990,122424,44242,16477,39706,1580
202512,41916,116396,44694,17013,46268,1381
202603,41029,128741,60052,13628,49510,1566
202606,24883,76405,36975,7749,33825,1399
